"Customweb_OPPCw::* Required Fields","* Required Fields"
"Customweb_OPPCw::Selected IBAN","Selected IBAN"
"Customweb_OPPCw::Send Basket","Send Basket"
"Customweb_OPPCw::Send Invoice Email","Send Invoice Email"
"Customweb_OPPCw::Send amounts to Open Payment Platform in base currency.","Send amounts to Open Payment Platform in base currency."
"Customweb_OPPCw::Send amounts to Open Payment Platform in store's base currency.","Send amounts to Open Payment Platform in store's base currency."
"Customweb_OPPCw::Send basket","Send basket"
"Customweb_OPPCw::Send invoice email","Send invoice email"
"Customweb_OPPCw::Send it by e-mail.","Send it by e-mail."
"Customweb_OPPCw::Send it by postal services.","Send it by postal services."
"Customweb_OPPCw::Send the invoice email automatically after invoice creation.","Send the invoice email automatically after invoice creation."
"Customweb_OPPCw::Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","With 'direct capturing' the the customer is debited directly after completion of payment. In the case of 'deferred capturing' the amount is debited at a moment defined by you."
"Customweb_OPPCw::Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Customweb_OPPCw::Set to 'none'.","Set to 'none'."
"Customweb_OPPCw::Settlement after order","Settlement after order"
"Customweb_OPPCw::Setup","Setup"
"Customweb_OPPCw::Shipping & Handling","Shipping & Handling"
"Customweb_OPPCw::Shipping Address","Delivery address"
"Customweb_OPPCw::Shipping Amount","Shipping Amount"
"Customweb_OPPCw::Shipping Information","Shipping Information"
"Customweb_OPPCw::Shipping Method","Shipping Method"
"Customweb_OPPCw::Shipping Methods","Shipping Methods"
"Customweb_OPPCw::Shipping Refund","Shipping Refund"
"Customweb_OPPCw::Shipping provider","Shipping provider"
"Customweb_OPPCw::Shop","Shop"
"Customweb_OPPCw::Short Installation Instructions:","Short Installation Instructions:"
"Customweb_OPPCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?"
"Customweb_OPPCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)? If instructed to do so you can also choose the risk based capturing. But please note that this feature can only be used if your account has the option activated. Contact your service provider for more information.","Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)? If instructed to do so you can also choose the risk based capturing. But please note that this feature can only be used if your account has the option activated. Contact your service provider for more information."
"Customweb_OPPCw::Show","Show"
"Customweb_OPPCw::Show Account Selection","Show Account Selection"
"Customweb_OPPCw::Show Further Settings and Information","Show further settings and information"
"Customweb_OPPCw::Show Image","Show Image"
"Customweb_OPPCw::Show Payment Id","Show Payment ID"
"Customweb_OPPCw::Show the payment id","Show the payment ID"
"Customweb_OPPCw::Show the payment id in the order information","Show the payment ID in the order information"
"Customweb_OPPCw::Show the payment image","Show the payment image"
"Customweb_OPPCw::Show the payment image on the checkout page","Show the payment image on the checkout page"
"Customweb_OPPCw::Sign In","Sign In"
"Customweb_OPPCw::Slovak Republic","Slovak Republic"
"Customweb_OPPCw::Social Security Number","Social Security Number"
"Customweb_OPPCw::Sorry, your payment request has been declined by AfterPay.","Sorry, your payment request has been declined by AfterPay."
"Customweb_OPPCw::Sort Code","Sort Code"
"Customweb_OPPCw::Sort Order","Sort Order"
"Customweb_OPPCw::Spain","Spain"
"Customweb_OPPCw::State is required for country @country.","State is required for country @country."
"Customweb_OPPCw::Status","State"
"Customweb_OPPCw::Status Message","Status message"
"Customweb_OPPCw::Store the payment details","Store the payment details"
"Customweb_OPPCw::Stored payment details","Stored payment details"
"Customweb_OPPCw::Street","Street"
"Customweb_OPPCw::Sub Account ID","Sub Account ID"
"Customweb_OPPCw::Submit","Submit"
"Customweb_OPPCw::Submit Order","Submit Order"
"Customweb_OPPCw::Submitting order information...","Submitting order information..."
"Customweb_OPPCw::Subtotal","Subtotal"
"Customweb_OPPCw::Success","Successful"
"Customweb_OPPCw::Successful","Successful"
"Customweb_OPPCw::Successful online refund of amount","Successful online refund of amount"
"Customweb_OPPCw::Successful payment authorization.","Successful payment authorization"
"Customweb_OPPCw::Successfull online refund of amount","Successful online refund of amount"
"Customweb_OPPCw::Support","Support"
"Customweb_OPPCw::Switzerland","Switzerland (CH)"
"Customweb_OPPCw::Tax Amount","Tax Amount"
"Customweb_OPPCw::Technical Issue Message","Technical Issue Message"
"Customweb_OPPCw::Technical issue: This payment methods is not available at the moment.","Technical issue: This payment method is not available at the moment."
"Customweb_OPPCw::Terms and Conditions","Terms and Conditions"
"Customweb_OPPCw::Test Mode","Test Mode"
"Customweb_OPPCw::Test Transaction","Test Transaction"
"Customweb_OPPCw::The 'Integrator Test Mode' sends all payments to Open Payment Platform, but no financial institute is contacted. In the 'Connector Test Mode' the transaction is sent to the corresponding financial institute as test transaction. In live mode all transactions are processed.","The 'Integrator Test Mode' sends all payments to Open Payment Platform, but no financial institute is contacted. In the 'Connector Test Mode' the transaction is sent to the corresponding financial institute as test transaction. In live mode all transactions are processed."
"Customweb_OPPCw::The Entity ID is a unique key for the identification of the unit which sends transactions into the system.","The Entity ID is a unique key for the identification of the unit which sends transactions into the system."
"Customweb_OPPCw::The HMAC key as defined in the live backoffice of Open Payment Platform. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of Open Payment Platform. You may need generate the HMAC key. Please take a look at the manual how to do this."
"Customweb_OPPCw::The IBAN is invalid.","The IBAN is invalid."
"Customweb_OPPCw::The IBAN is missing.","The IBAN is missing."
"Customweb_OPPCw::The Klarna payment method cannot be used by companies.","The Klarna payment method cannot be used by companies."
"Customweb_OPPCw::The Klarna payment method cannot be used in the customer's country.","The Klarna payment method cannot be used in the customer's country."
"Customweb_OPPCw::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","The SEPA mandate schema does not contain the tag '!tag'. This tag is required."
"Customweb_OPPCw::The SHA signatures do not match.","SHA signatures do not match"
"Customweb_OPPCw::The VAT category is invalid.","The VAT category is invalid."
"Customweb_OPPCw::The VAT category is missing.","The VAT category is missing."
"Customweb_OPPCw::The VAT number is missing.","The VAT number is missing."
"Customweb_OPPCw::The alias could not be found.","The alias could not be found."
"Customweb_OPPCw::The alias has been deleted.","The alias has been deleted."
"Customweb_OPPCw::The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by Open Payment Platform.","The alias manager allows the customer to pay with a previously stored credit card. The credit card data is stored with Open Payment Platform."
"Customweb_OPPCw::The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conducted with error code: !code, and reason: !reason:"
"Customweb_OPPCw::The amount could not be verified.","The amount could not be verified."
"Customweb_OPPCw::The amount of !amount is authorized.","The amount of !amount is authorized."
"Customweb_OPPCw::The amount of !amount is captured.","The amount of !amount is captured."
"Customweb_OPPCw::The authorization is confirmed.","The authorization has been approved."
"Customweb_OPPCw::The authorization is denied: !errorMessage","The authorization has been denied: !errorMessage"
"Customweb_OPPCw::The authorization method '!method' is not supported.","The authorization method '!method' is not supported."
"Customweb_OPPCw::The authorization was denied.","The authorization was denied."
"Customweb_OPPCw::The authorization was not successful","Authorization error. Authorization not successful."
"Customweb_OPPCw::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"Customweb_OPPCw::The brand with external name '!key' was not present in the map.","The brand with external name '!key' was not present in the map."
"Customweb_OPPCw::The brand with key '!key' was not found in the card information map.","The brand with key '!key' was not found in the card information map."
"Customweb_OPPCw::The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"Customweb_OPPCw::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount)."
"Customweb_OPPCw::The capture failed.","The capture failed."
"Customweb_OPPCw::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The capture item with SKU '@sku' has a higher amount (@amountItem) than the original item (@amountOriginal)."
"Customweb_OPPCw::The capture item with SKU '@sku' is not present in the original order.","The capture item with SKU '@sku' is not present in the original order."
"Customweb_OPPCw::The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"Customweb_OPPCw::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown should the brand selection using images."
"Customweb_OPPCw::The chamber of commerce number is incorrect.","The chamber of commerce number is incorrect."
"Customweb_OPPCw::The chamber of commerce number is missing.","The chamber of commerce number is missing."
"Customweb_OPPCw::The channel ID is a unique key for the identification of the unit which sends transactions into the system.","The channel ID is a unique key for the identification of the unit which sends transactions into the system."
"Customweb_OPPCw::The comapny name is incorrect.","The company name is incorrect."
"Customweb_OPPCw::The company name is missing.","The company name is missing."
"Customweb_OPPCw::The company vat number number needs to be set.","The company vat number number needs to be set."
"Customweb_OPPCw::The configuration has been saved.","The configuration has been saved."
"Customweb_OPPCw::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","The controller class '@controller' does not provide any method with the annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output."
"Customweb_OPPCw::The country code of the phone number is invalid.","The country code of the phone number is invalid."
"Customweb_OPPCw::The country code of the phone number is missing.","The country code of the phone number is missing."
"Customweb_OPPCw::The currency preference is invalid.","The currency preference is invalid."
"Customweb_OPPCw::The currency preference is missing.","The currency preference is missing."
"Customweb_OPPCw::The customer can decide, how to receive the invoice.","The customer can decide, how to receive the invoice."
"Customweb_OPPCw::The customer does not finish the payment with in the timeout.","The customer does not finish the payment with in the timeout."
"Customweb_OPPCw::The date of birth is invalid.","The date of birth is invalid."
"Customweb_OPPCw::The date of birth is missing.","The date of birth is missing."
"Customweb_OPPCw::The date of birth is required.","The date of birth is required."
"Customweb_OPPCw::The date of birth needs to be set.","The date of birth needs to be set."
"Customweb_OPPCw::The debtor ID for processing SEPA mandates.","The debtor ID for processing SEPA mandates."
"Customweb_OPPCw::The department name is invalid.","The department name is invalid."
"Customweb_OPPCw::The department name is missing.","The department name is missing."
"Customweb_OPPCw::The email address is invalid.","The email address is invalid."
"Customweb_OPPCw::The email address is missing.","The email address is missing."
"Customweb_OPPCw::The establishment number is invalid.","The establishment number is invalid."
"Customweb_OPPCw::The establishment number is missing.","The establishment number is missing."
"Customweb_OPPCw::The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off."
"Customweb_OPPCw::The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement."
"Customweb_OPPCw::The gender is required.","The gender is required."
"Customweb_OPPCw::The given BIC is invalid.","The given BIC is invalid."
"Customweb_OPPCw::The given CVC code has the wrong length.","The given CVC code has the wrong length."
"Customweb_OPPCw::The given IBAN is invalid.","The given IBAN is invalid."
"Customweb_OPPCw::The given address was invalid.","The given address was invalid."
"Customweb_OPPCw::The given card number has an invalid check sum.","The given card number has an invalid check sum."
"Customweb_OPPCw::The given card number has an invalid length.","The given card number has an invalid length."
"Customweb_OPPCw::The given hmac key is empty.","No HMAC key entered."
"Customweb_OPPCw::The given identifier is empty.","The given identifier is empty."
"Customweb_OPPCw::The given password is empty.","No password entered."
"Customweb_OPPCw::The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a numeric value with length of two."
"Customweb_OPPCw::The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a numeric value with length of two."
"Customweb_OPPCw::The given site number is empty.","The given site number is empty."
"Customweb_OPPCw::The given transaction is not of type Customweb_OPPCw_Authorization_Transaction.","The given transaction is not of type Customweb_OPPCw_Authorization_Transaction."
"Customweb_OPPCw::The height of the iframe containing the input field.","The height of the iframe containing the input field."
"Customweb_OPPCw::The house number addition is invalid.","The house number addition is invalid."
"Customweb_OPPCw::The house number addition is missing.","The house number addition is missing."
"Customweb_OPPCw::The house number is invalid.","The house number is invalid."
"Customweb_OPPCw::The house number is missing.","The house number is missing."
"Customweb_OPPCw::The identifier as defined in the backoffice of Open Payment Platform.","The identifier as defined in the backoffice of Open Payment Platform."
"Customweb_OPPCw::The initials are invalid.","The initials are invalid."
"Customweb_OPPCw::The initials are missing.","The initials are missing."
"Customweb_OPPCw::The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel.","The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel."
"Customweb_OPPCw::The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel. This is only needed by the hidden authorization.","The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel. This is only needed by the hidden authorization."
"Customweb_OPPCw::The invoice could not be captured and processed by","The invoice could not be captured and processed by Open Payment Platform."
"Customweb_OPPCw::The invoice could not be captured and processed. Reason:","The invoice could not be captured and processed. Reason: !reason"
"Customweb_OPPCw::The invoice could not be found.","The invoice could not be found."
"Customweb_OPPCw::The invoice has been changed.","The invoice has been changed."
"Customweb_OPPCw::The invoice no longer exists.","The invoice no longer exists."
"Customweb_OPPCw::The language preference is invalid.","The language preference is invalid."
"Customweb_OPPCw::The language preference is missing.","The language preference is missing."
"Customweb_OPPCw::The layout does not contain the tag '!layout_tag'.","The layout does not contain the tag '!layout_tag'."
"Customweb_OPPCw::The merchant id provided by Open Payment Platform","The merchant id provided by Open Payment Platform"
"Customweb_OPPCw::The merchant name, displayed to customer on SEPA mandates.","The merchant name, displayed to customer on SEPA mandates."
"Customweb_OPPCw::The minimum age for ordering with Payolution is 18 years.","The minimum age for ordering with Payolution is 18 years."
"Customweb_OPPCw::The name of the city is invalid.","The name of the city is invalid."
"Customweb_OPPCw::The name of the city is missing.","The name of the city is missing."
"Customweb_OPPCw::The name prefix is invalid.","The name prefix is invalid."
"Customweb_OPPCw::The name prefix is missing.","The name prefix is missing."
"Customweb_OPPCw::The next update execution date indicates when the next cron is run to update the transaction state.","The next update execution date indicates when the next cron is run to update the transaction state."
"Customweb_OPPCw::The order is not fully completed. Please contact the store owner.","The payment could not be conducted."
"Customweb_OPPCw::The order number is already excisting.","The order number is already excisting."
"Customweb_OPPCw::The order number is invalid.","The order number is invalid."
"Customweb_OPPCw::The order number is missing.","The order number is missing."
"Customweb_OPPCw::The orderline is invalid.","The orderline is invalid."
"Customweb_OPPCw::The orderline is missing.","The orderline is missing."
"Customweb_OPPCw::The parameters ""3DSIGNVAL"" was false.","The parameters ""3DSIGNVAL"" was false."
"Customweb_OPPCw::The parent transaction reference already exists.","The parent transaction reference already exists."
"Customweb_OPPCw::The parent transaction reference is invalid.","The parent transaction reference is invalid."
"Customweb_OPPCw::The parent transaction reference is missing.","The parent transaction reference is missing."
"Customweb_OPPCw::The password is provided by Open Payment Platform.","The password is provided by Open Payment Platform."
"Customweb_OPPCw::The payment could not be authorized, because it is not certain.","Payment could not be authorised as it is uncertain."
"Customweb_OPPCw::The payment form will be displayed after submitting the order.","The payment form will be displayed after submitting the order."
"Customweb_OPPCw::The payment has been accepted.","The payment has been accepted."
"Customweb_OPPCw::The payment has been denied.","The payment has been denied."
"Customweb_OPPCw::The payment method !paymentMethod does not support recurring payment.","The payment method !paymentMethod does not support recurring payments."
"Customweb_OPPCw::The payment method !paymentMethodName does not support the currency '!currency'.","The payment method !paymentMethodName does not support the currency '!currency'."
"Customweb_OPPCw::The payment method !paymentMethodName is not available in your country ('!country').","The payment method !paymentMethodName is not available in your country ('!country')."
"Customweb_OPPCw::The payment method '!paymentMethod' cannot be used for Moto payments.","The payment method '!paymentMethod' cannot be used for MoTo payments."
"Customweb_OPPCw::The payment update has been made.","The payment update has been completed."
"Customweb_OPPCw::The portal id provided by Open Payment Platform","The portal id provided by Open Payment Platform"
"Customweb_OPPCw::The postal code is invalid.","The postal code is invalid."
"Customweb_OPPCw::The postal code is missing.","The postal code is missing."
"Customweb_OPPCw::The product quantity is invalid.","The product quantity is invalid."
"Customweb_OPPCw::The product quantity is missing.","The product quantity is missing."
"Customweb_OPPCw::The provided signature does not match with the one calculated.","The provided signature does not match the one calculated."
"Customweb_OPPCw::The rang (PBX_RANG) as defined in the live backoffice of Open Payment Platform. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of Open Payment Platform. It must be nummeric value with length two. In the back office it may be displayed as a three char value. You must truncate the first digit."
"Customweb_OPPCw::The refund announcement failed.","The refund announcement failed."
"Customweb_OPPCw::The refund failed due to an unkown reason.","The refund failed due to an unknown reason."
"Customweb_OPPCw::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_OPPCw::The refund item with SKU '@sku' is not present in the original order.","The refund item with SKU '@sku' is not present in the original order."
"Customweb_OPPCw::The refunding could not be conducted. Error code: !error.","The refund could not be conducted. Error code: !error."
"Customweb_OPPCw::The response seems not to be valid.","The response seems to be invalid."
"Customweb_OPPCw::The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off."
"Customweb_OPPCw::The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement."
"Customweb_OPPCw::The secret key set in the Open Payment Platform backend, on .","The secret key set in the Open Payment Platform backend, on ."
"Customweb_OPPCw::The secret key set in the Open Payment Platform backend, on backendUrlLive____.","The secret key set in the Open Payment Platform backend, on backendUrlLive____."
"Customweb_OPPCw::The sender ID is provided by Open Payment Platform.","The Sender ID is provided by Open Payment Platform."
"Customweb_OPPCw::The sender ID is provided by Open Payment Platform. This is only needed by the hidden authorization.","The sender ID is provided by Open Payment Platform. This is only needed by the hidden authorization."
"Customweb_OPPCw::The shopping cart has been altered!","The shopping cart has been altered!"
"Customweb_OPPCw::The signature could not be verified.","The signature could not be verified."
"Customweb_OPPCw::The site id (PBX_RANG) as defined in the backoffice of Open Payment Platform.","The Site ID (PBX_RANG) as defined in the back office of Open Payment Platform."
"Customweb_OPPCw::The style of the input field, using inline CSS. This style will be appkied if 'Use Style' is set to 'Inline Style'.","The style of the input field, using inline CSS. This style will be appkied if 'Use Style' is set to 'Inline Style'."
"Customweb_OPPCw::The sub account id provided by Open Payment Platform","The sub account id provided by Open Payment Platform"
"Customweb_OPPCw::The surname is invalid.","""The surname is invalid."
"Customweb_OPPCw::The surname is missing.","The surname is missing."
"Customweb_OPPCw::The telephone number is invalid.","The telephone number is invalid."
"Customweb_OPPCw::The telephone number is missing.","The telephone number is missing."
"Customweb_OPPCw::The text which will be displayed on the account- and credit card statements. This will be cut at 27 characters to make a new line. It is not possible to force a new line throught the us of e.g. spaces ("" "").","The text which will be displayed on the account- and credit card statements. This will be cut at 27 characters to make a new line. It is not possible to force a new line throught the us of e.g. spaces ("" "")."
"Customweb_OPPCw::The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off."
"Customweb_OPPCw::The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement."
"Customweb_OPPCw::The total order amount is invalid.","The total order amount is invalid."
"Customweb_OPPCw::The total order amount is missing.","The total order amount is missing."
"Customweb_OPPCw::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount)."
"Customweb_OPPCw::The transaction cannot be cancelled online.","The transaction cannot be cancelled online."
"Customweb_OPPCw::The transaction cannot be captured online.","The transaction cannot be captured online."
"Customweb_OPPCw::The transaction cannot be refunded online.","The transaction cannot be refunded online."
"Customweb_OPPCw::The transaction failed due to an unknown reason.","The transaction failed due to an unknown reason."
"Customweb_OPPCw::The transaction failed with error code !code.","The transaction failed with error code: !code"
"Customweb_OPPCw::The transaction is only executed in the test system. The goods should not be delivered.","The transaction is only executed in the test system. The goods should not be delivered."
"Customweb_OPPCw::The transaction reaches an invalid state, because the response of Open Payment Platform does corresponds to the specification. Most likely your account is misconfigured (e.g. wrong entity ID).","The transaction reaches an invalid state, because the response of Open Payment Platform does not correspond to the specification. Most likely your account is misconfigured (e.g. wrong entity ID)."
"Customweb_OPPCw::The transaction was cancelled by the user.","The transaction was cancelled by the user."
"Customweb_OPPCw::The unit price is invalid.","The unit price is invalid."
"Customweb_OPPCw::The unit price is missing.","The unit price is missing."
"Customweb_OPPCw::The user ID is provided by Open Payment Platform.","The User ID is provided by Open Payment Platform."
"Customweb_OPPCw::The validation at step authorize is not supported for ajax and hidden authorization","The validation at step authorize is not supported for ajax and hidden authorization"
"Customweb_OPPCw::The whole transaction is cancelled.","The entire transaction has been cancelled."
"Customweb_OPPCw::The width of the iframe containing the input field.","The width of the iframe containing the input field."
"Customweb_OPPCw::There has been a problem during the processing of your payment.","There has been a problem during the processing of your payment."
"Customweb_OPPCw::There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully."
"Customweb_OPPCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1"
"Customweb_OPPCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s"
"Customweb_OPPCw::There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"Customweb_OPPCw::There is some information missing.","There is some information missing."
"Customweb_OPPCw::There seems to be a problem with the Open Payment Platform module.","There seems to be a problem with the Open Payment Platform module."
"Customweb_OPPCw::There was an error validating the login and password.","There was an error validating the login and password."
"Customweb_OPPCw::This URL has to be entered in the backend of Open Payment Platform as TransactionStatus URL.","This URL has to be entered in the backend of Open Payment Platform as TransactionStatus URL."
"Customweb_OPPCw::This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%s"">Click here</a> to resend the confirmation email."
"Customweb_OPPCw::This is a brief installation instruction of the main and most important installation steps. It is important that you strictly follow the check-list. Only by doing so, the secure usage in correspondence with all security regulations can be guaranteed.","This is a brief installation instruction of the main and most important installation steps. It is important that you strictly follow the check-list. Only by doing so, the secure usage in correspondence with all security regulations can be guaranteed."
"Customweb_OPPCw::This is a brief instruction of the main and most important installation steps, which need to be performed when installing the Open Payment Platform module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip.","This is a brief instruction of the most important installation steps, which need to be performed when installing the Open Payment Platform module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip."
"Customweb_OPPCw::This message is returned by Open Payment Platform for this transaction.","This message has been sent by Open Payment Platform for this transaction."
"Customweb_OPPCw::This message is shown to the customer, when he fails to pass the solvency check.","This message is shown to the customer, when he fails to pass the solvency check."
"Customweb_OPPCw::This message is shown to the customer, when the system of Open Payment Platform is not reachable or unavailable.","This message is shown to the customer, when the system of Open Payment Platform is not reachable or unavailable."
"Customweb_OPPCw::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Open Payment Platform account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Open Payment Platform account."
"Customweb_OPPCw::This payment method is unavailable.","This payment method is unavailable."
"Customweb_OPPCw::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate/deactivate the 3D Secure check. Please check with PayBox if you are allowed to deactivate the 3D Secure check. This setting only has an effect if you use the payment page."
"Customweb_OPPCw::This status is set, when the payment was successfull and it is authorized.","This status is set when the payment was successful and it is authorised."
"Customweb_OPPCw::This transaction is already closed for further captures.","This transaction is already closed for further captures"
"Customweb_OPPCw::This transaction is already closed for further refunds.","This transaction has been closed for further refunds."
"Customweb_OPPCw::This transaction no longer exists.","This transaction no longer exists."
"Customweb_OPPCw::Timeout for pending payments (min)","Time-out for pending payments (in min)."
"Customweb_OPPCw::Titel","Title"
"Customweb_OPPCw::Title","Title"
"Customweb_OPPCw::Title of the payment method","Name of the payment method"
"Customweb_OPPCw::To use the Klarna payment method, please specify the Klarna merchant id (EID).","To use the Klarna payment method, please specify the Klarna merchant ID (EID)."
"Customweb_OPPCw::To use the Klarna payment method, the billing and shipping addresses must not differ.","To use the Klarna payment method, the billing and shipping addresses must not differ."
"Customweb_OPPCw::To use this payment method you need to add a state to your address.","To use this payment method you need to add a state to your address."
"Customweb_OPPCw::Total","Total"
"Customweb_OPPCw::Total Shipping Charges","Total shipping charges"
"Customweb_OPPCw::Track order history","Track order history"
"Customweb_OPPCw::Transaction","Transaction"
"Customweb_OPPCw::Transaction Authorized","Transaction authorised"
"Customweb_OPPCw::Transaction Cancelled","Transaction cancelled"
"Customweb_OPPCw::Transaction Captured","Transaction captured"
"Customweb_OPPCw::Transaction History","Transaction History"
"Customweb_OPPCw::Transaction Id","Transaction ID"
"Customweb_OPPCw::Transaction Paid","Transaction paid"
"Customweb_OPPCw::Transaction Uncertain","Transaction uncertain"
"Customweb_OPPCw::Transaction Updates","Transaction Updates"
"Customweb_OPPCw::Transaction cancelled successfully","Transaction cancelled successfully"
"Customweb_OPPCw::Transaction captured successfully","Transaction captured successfully"
"Customweb_OPPCw::Transaction failed with an unkown reason.","Transaction failed with an unkown reason."
"Customweb_OPPCw::Transaction failed with code @code and message @message.","Transaction failed with code @code and message @message."
"Customweb_OPPCw::Transaction failed with code @code.","Transaction failed with code @code."
"Customweb_OPPCw::Transaction history","Transaction History"
"Customweb_OPPCw::Transaction was authorized over the deferred authorization mechanism.","Transaction was authorized over the deferred authorization mechanism."
"Customweb_OPPCw::TransactionStatus URL","TransactionStatus URL"
"Customweb_OPPCw::Transactions","Transactions"
"Customweb_OPPCw::Unable to save the invoice.","Unable to save the invoice."
"Customweb_OPPCw::Uncertain Status","Uncertain status"
"Customweb_OPPCw::Uncertain scoring","Uncertain scoring"
"Customweb_OPPCw::Uncertain transactions","Uncertain transactions"
"Customweb_OPPCw::Unexpected transaction context type.","Unexpected transaction context type."
"Customweb_OPPCw::Unfortunately, we cannot handle this purchase via Klarna. Please select an alternative payment method to complete your order.","Unfortunately, we cannot handle this purchase via Klarna. Please select an alternative payment method to complete your order."
"Customweb_OPPCw::United Kingdom","United Kingdom"
"Customweb_OPPCw::Unknown error occurred while processing your request.","Unknown error occurred while processing your request."
"Customweb_OPPCw::Update","Update"
"Customweb_OPPCw::Update Qty's","Adjust Quantity"
"Customweb_OPPCw::Update interval for payments","Update interval for payments"
"Customweb_OPPCw::Use Base Currency","Use Base Currency"
