"Customweb_OPPCw::* Required Fields","* Erforderliche Felder"
"Customweb_OPPCw::Plain","Plain"
"Customweb_OPPCw::Please accept the terms and conditions.","Stimmen Sie bitte den Allgemeinen Geschäftsbedingungen zu."
"Customweb_OPPCw::Please agree to all the terms and conditions before placing the order.","Bitte stimmen Sie vor dem Platzieren der Bestellung den allgemeinen Geschäftsbedingungen zu."
"Customweb_OPPCw::Please check the entered CVC number.","Bitte überprüfen Sie den eingegebenen CVC."
"Customweb_OPPCw::Please check the entered credit card number.","Bitte geben Sie eine Kreditkartennummer ein."
"Customweb_OPPCw::Please enter here the Bank Identifier Code (BIC).","Bitte tragen Sie hier einen BIC ein (Bank identifier Code)."
"Customweb_OPPCw::Please enter here the CVC code from your card. You find the code on the back of the card.","Bitte geben Sie hier den CVC Ihrer Karte ein. Sie finden diesen auf der Rückseite Ihrer Kreditkarte."
"Customweb_OPPCw::Please enter here the International Bank Account Number (IBAN).","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Customweb_OPPCw::Please enter here the account holder name on the card.","Bitte geben Sie den Kontoinhaber an."
"Customweb_OPPCw::Please enter here the account holder name.","Bitte tragen Sie hier den Kontoinhaber ein."
"Customweb_OPPCw::Please enter here the account number of your bank account.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Customweb_OPPCw::Please enter here the bank code of your bank.","Bitte geben Sie den Bankcode Ihrer Bank ein."
"Customweb_OPPCw::Please enter here the card holder name on the card.","Bitte geben Sie den Karteninhaber auf Ihrer Kreditkarte ein."
"Customweb_OPPCw::Please enter here the commercial number of your company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"Customweb_OPPCw::Please enter here the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"Customweb_OPPCw::Please enter here the number on your card.","Bitte geben Sie hier die Kartennummer Ihrer Kreditkarte ein."
"Customweb_OPPCw::Please enter here the sales tax number of your company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"Customweb_OPPCw::Please enter here your gender.","Please enter here your gender."
"Customweb_OPPCw::Please enter here your phone number.","Please enter here your phone number."
"Customweb_OPPCw::Please enter here your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"Customweb_OPPCw::Please enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"Customweb_OPPCw::Please enter the name of your bank.","Bitte geben Sie hier den Namen Ihrer Bank ein."
"Customweb_OPPCw::Please enter your IBAN number.","Bitte geben Sie Ihre IBAN ein."
"Customweb_OPPCw::Please enter your gender.","Please enter your gender."
"Customweb_OPPCw::Please enter your issue number, if there is no CVC code on your card.","Bitte geben Sie die Ausgabenummer von Ihrer Karte ein, falls Sie keinen CVC auf Ihrer Karte haben."
"Customweb_OPPCw::Please enter your phone number.","Please enter your phone number."
"Customweb_OPPCw::Please fill out the form completely","Bitte füllen Sie das Formular vollständig aus"
"Customweb_OPPCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte deaktivieren Sie Cache und versuchen Sie es erneut. Sollte dies nicht helfen, ändern Sie die Autorisationsmethode zu PaymentPage und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>."
"Customweb_OPPCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Bitte leeren oder deaktivieren Sie den Cache-Speicher und versuchen Sie es erneut. Falls dies nicht hilft, ändern Sie die Autorisationsmethode zu Payment Page und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>.', 'http://www.sellxed.com/en/support"
"Customweb_OPPCw::Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte entleeren oder deaktivieren Sie Ihren Cache und versuchen Sie es erneut. Falls es immer noch nicht klappt, ändern Sie die Autorisierungsmethode zu PaymentPage und kontaktieren Sie <a href=""%s"" target=""_blank"">sellxed</a>."
"Customweb_OPPCw::Please log in below:","Bitte loggen Sie sich ein:"
"Customweb_OPPCw::Please pay the order to the following account.","Bitte bezahlen Sie die Bestellungen an den folgenden Account."
"Customweb_OPPCw::Please read and accept the terms and conditions.","Bitte lesen Sie die Allgemeinen Geschäftsbedingungen und stimmen diesen zu."
"Customweb_OPPCw::Please select","-- Bitte wählen --"
"Customweb_OPPCw::Please select a shipping method before sending the order.","Bitte wählen Sie vor dem Übermitteln der Bestellung eine Versandmethode aus."
"Customweb_OPPCw::Please select a shipping provider.","Bitte wählen Sie eine Versandmethode aus."
"Customweb_OPPCw::Please select the Bank Identifier Code (BIC) of your bank.","Wählen Sie einen BIC (Bank Identifier Code) Ihrer Bank."
"Customweb_OPPCw::Please select the day of your birth.","Bitte wählen Sie den Tag Ihrer Geburt aus."
"Customweb_OPPCw::Please select the expiry month on your card.","Bitte wählen Sie den Monat des Ablaufdatums auf Ihrer Kreditkarte aus."
"Customweb_OPPCw::Please select the expiry year on your card.","Bitte geben Sie das Ablaufdatum der Karte ein."
"Customweb_OPPCw::Please select the month of your birth.","Bitte wählen Sie den Monat Ihrer Geburt aus."
"Customweb_OPPCw::Please select the point in the checkout process when the different checks should be processed.","Bitte wählen Sie den Zeitpunkt im Checkout Prozess aus, zu dem die verschiedenen Checks durchgeführt werden sollen."
"Customweb_OPPCw::Please select the processor by which the invoice should be processed.","Bitte wählen Sie den Verarbeiter aus, mit dem die Rechnung bearbeitet werden soll."
"Customweb_OPPCw::Please select the the year of your birth.","Bitte wählen Sie das Jahr Ihrer Geburt aus."
"Customweb_OPPCw::Please specify the merchant id (EID) of your Klarna account.","Please specify the merchant id (EID) of your Klarna account."
"Customweb_OPPCw::Please wait...","Please wait..."
"Customweb_OPPCw::Poland","Poland"
"Customweb_OPPCw::Portal ID","Portal ID"
"Customweb_OPPCw::Postal code","Postleitzahl"
"Customweb_OPPCw::Price","Preis"
"Customweb_OPPCw::Process ID","Process ID"
"Customweb_OPPCw::Processor","Verarbeiter"
"Customweb_OPPCw::Product","Produkt"
"Customweb_OPPCw::Product Name","Produktname"
"Customweb_OPPCw::Proposed address changes","Vorgeschlagene Adressänderungen"
"Customweb_OPPCw::Purchase Point","Einkaufsort"
"Customweb_OPPCw::Qty","Anzahl"
"Customweb_OPPCw::Quantity can not be larger than 999.","Die Menge kann nicht grösser als 999 sein."
"Customweb_OPPCw::Received 'paid' action, however amount was incorrect (!actual instead of !expected).","'Bezahlt' Aktion erhalten jedoch war der Betrag nicht korrekt (!actual ansatt !expected)."
"Customweb_OPPCw::Received message with action @action.","Nachricht erhalten mit der Aktion  @action."
"Customweb_OPPCw::Recurring Payments","Abo Zahlungen"
"Customweb_OPPCw::Red","Rot"
"Customweb_OPPCw::Redirection was required to url @url.","Weiterleitung an URL @url war erforderlich."
"Customweb_OPPCw::Reference No.","Referenznummer"
"Customweb_OPPCw::Refund (announcement) is only available for the full order, not only parts.","Ein Refund (Ankündigung) ist nur erhältlich für die ganze Bestellung, nicht nur Teile davon."
"Customweb_OPPCw::Refund Amount","Rückerstattungsbetrag"
"Customweb_OPPCw::Refund ID","Rückvergütungs ID"
"Customweb_OPPCw::Refund amount","Rückerstattungsbetrag"
"Customweb_OPPCw::Refund information","Informationen zur Gutschrift"
"Customweb_OPPCw::Refund status","Gutschriftsstatus"
"Customweb_OPPCw::Refunded Amount","Rückerstattungsbetrag"
"Customweb_OPPCw::Refunds","Gutschrift"
"Customweb_OPPCw::Register","Registireren"
"Customweb_OPPCw::Register to Create an Account","Registrieren, um ein Benutzerkonto zu erstellen"
"Customweb_OPPCw::Register with us for future convenience:","Registrieren Sie sich bei uns für zukünftigen Komfort:"
"Customweb_OPPCw::Release Date","Erscheinungsdatum"
"Customweb_OPPCw::Review","Übersicht"
"Customweb_OPPCw::Risk Based Capture","Risk Based Capture"
"Customweb_OPPCw::Rounding Adjustment","Rundungskorrekturen"
"Customweb_OPPCw::Rounding Fee","Rundungsgebühr"
"Customweb_OPPCw::Row Total","Zeilensumme"
"Customweb_OPPCw::SEPA Mandate ID","SEPA Mandats ID"
"Customweb_OPPCw::SKU:","SKU:"
"Customweb_OPPCw::Sales","Verkäufe"
"Customweb_OPPCw::Sales Tax Number","Steuer Nummer"
"Customweb_OPPCw::Save","Speichern"
"Customweb_OPPCw::Saved cards:","Gespeicherte Karten:"
"Customweb_OPPCw::Score","Ergebnis"
"Customweb_OPPCw::Scoring check executed","Bonitätsprüfung durchgeführt"
"Customweb_OPPCw::Scoring check maximum","Maximalwert für die Beurteilung"
"Customweb_OPPCw::Scoring check minimum","Minimaler Bonitäts-Score"
"Customweb_OPPCw::Secret Key","Secret Key"
"Customweb_OPPCw::Secret for Encryption","Secret for Encryption"
"Customweb_OPPCw::Secret key","Secret Key"
"Customweb_OPPCw::Security Hash","Security Hash"
"Customweb_OPPCw::Security Hash Secret","Security Hash Secret"
"Customweb_OPPCw::Security Sender","Security Sender"
"Customweb_OPPCw::See order and shipping status","Bestell- und Versandstatus ansehen"
"Customweb_OPPCw::Select 'ALL'","Select 'ALL'"
"Customweb_OPPCw::Select 'PA' and 'DB' for PAYMENTS and 'ALL' for REGISTRATIONS.","Select 'PA' and 'DB' for PAYMENTS and 'ALL' for REGISTRATIONS."
"Customweb_OPPCw::Select Brand","Wählen Sie den Kartentyp aus."
"Customweb_OPPCw::Select Method","Methode auswählen"
"Customweb_OPPCw::Select the authorization method to use for processing this payment method.","Wählen Sie bitte die Autorisierungsmethode für diese Zahlweise. (Bitte beachten Sie, dass die Hidden Autorisierung für Kreditkarten (sofern vorhanden) zusätzliche Zertifizerungsanforderungen mit sich bringt SAQ-A-EP. Für weitere Informationen kontkatieren Sie bitte Open Payment Platform)."
"Customweb_OPPCw::Select the date of your birth.","Wählen Sie Ihr Geburtsdatum."
"Customweb_OPPCw::Select the date on which your card expires.","Wählen Sie das Kartenablaufdatum."
"Customweb_OPPCw::Select the hash calculation method to use. This value must correspond with the selected value in the back-end of Open Payment Platform.","Wählen Sie die Hash Berechnungsmethode. Dieser Wert muss mit dem vom Backend von Open Payment Platform übereinstimmen."
"Customweb_OPPCw::Selected IBAN","Selected IBAN"
"Customweb_OPPCw::Send Basket","Warenkorb senden"
"Customweb_OPPCw::Send Invoice Email","Rechnungs-E-Mail senden"
"Customweb_OPPCw::Send amounts to Open Payment Platform in base currency.","Den Betrag an Open Payment Platform  in der Standard Währung setteln"
"Customweb_OPPCw::Send amounts to Open Payment Platform in store's base currency.","Beträge in der Basiswährung des Shops an Open Payment Platform senden."
"Customweb_OPPCw::Send basket","Warenkorb senden"
"Customweb_OPPCw::Send invoice email","Rechnungsmail versenden"
"Customweb_OPPCw::Send it by e-mail.","Via E-Mail senden"
"Customweb_OPPCw::Send it by postal services.","Via Post senden."
"Customweb_OPPCw::Send the invoice email automatically after invoice creation.","Soll das Rechnungsemail direkt nach dem Erstellen der Rechnung versendet werden?"
"Customweb_OPPCw::Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Wenn Sie 'Direkte Buchung' wählen, wird die Autorisierung direkt von der Kredit Karte des Kunden abgebucht. Bei 'Verzögerte Buchung' wird der Betrag verzögert zu einem von Ihnen definierten Zeitpunkt verbucht."
"Customweb_OPPCw::Set the sort order to show the external checkouts.","Legen Sie die Reihenfolge fest, in der externe Checkouts angezeigt werden sollen."
"Customweb_OPPCw::Set to 'none'.","Set to 'none'."
"Customweb_OPPCw::Settlement after order","Erstellung nach der Bestellung"
"Customweb_OPPCw::Setup","Setup"
"Customweb_OPPCw::Shipping & Handling","Shipping & Handling"
"Customweb_OPPCw::Shipping Address","Lieferadresse"
"Customweb_OPPCw::Shipping Amount","Lieferkosten"
"Customweb_OPPCw::Shipping Information","Versandinformationen"
"Customweb_OPPCw::Shipping Method","Versandmethode"
"Customweb_OPPCw::Shipping Methods","Versandmethoden"
"Customweb_OPPCw::Shipping Refund","Rückerstattung der Lieferkosten"
"Customweb_OPPCw::Shipping provider","Zulieferer"
"Customweb_OPPCw::Shop","Shop"
"Customweb_OPPCw::Short Installation Instructions:","Kurzinstruktionen:"
"Customweb_OPPCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Soll der Betrag nach der Bestellung automatisch abgesendet (direkt) oder nur reserviert werden (verzögert)?"
"Customweb_OPPCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)? If instructed to do so you can also choose the risk based capturing. But please note that this feature can only be used if your account has the option activated. Contact your service provider for more information.","Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)? If instructed to do so you can also choose the risk based capturing. But please note that this feature can only be used if your account has the option activated. Contact your service provider for more information."
"Customweb_OPPCw::Show","Anzeigen"
"Customweb_OPPCw::Show Account Selection","Account-Auswahl anzeigen"
"Customweb_OPPCw::Show Further Settings and Information","Weitere Einstellungen und Informationen zeigen"
"Customweb_OPPCw::Show Image","Bild anzeigen"
"Customweb_OPPCw::Show Payment Id","Payment ID anzeigen"
"Customweb_OPPCw::Show the payment id","Anzeigen der Zahlungs ID"
"Customweb_OPPCw::Show the payment id in the order information","Zahlungs ID in der Bestellinformation anzeigen"
"Customweb_OPPCw::Show the payment image","Anzeigen der Zahlungslogos"
"Customweb_OPPCw::Show the payment image on the checkout page","Zahlungslogos im Checkout anzeigen"
"Customweb_OPPCw::Sign In","Anmelden"
"Customweb_OPPCw::Slovak Republic","Slovak Republic"
"Customweb_OPPCw::Social Security Number","Sozialversicherungsnummer"
"Customweb_OPPCw::Sorry, your payment request has been declined by AfterPay.","Sorry, your payment request has been declined by AfterPay."
"Customweb_OPPCw::Sort Code","Sort Code"
"Customweb_OPPCw::Sort Order","Sortierreihenfolgen"
"Customweb_OPPCw::Spain","Spain"
"Customweb_OPPCw::State is required for country @country.","Staat ist für country @ country erforderlich."
"Customweb_OPPCw::Status","Status"
"Customweb_OPPCw::Status Message","Status Message"
"Customweb_OPPCw::Store the payment details","Speichere Zahlungsdaten"
"Customweb_OPPCw::Stored payment details","Gespeicherte Zahlungsdetails"
"Customweb_OPPCw::Street","Strasse"
"Customweb_OPPCw::Sub Account ID","Sub Account ID"
"Customweb_OPPCw::Submit","Absenden"
"Customweb_OPPCw::Submit Order","Bestellung absenden"
"Customweb_OPPCw::Submitting order information...","Bestellungsinformation übermitteln..."
"Customweb_OPPCw::Subtotal","Zwischensumme"
"Customweb_OPPCw::Success","Erfolgreich"
"Customweb_OPPCw::Successful","Erfolgreich"
"Customweb_OPPCw::Successful online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Customweb_OPPCw::Successful payment authorization.","Die Zahlung wurde erfolgreich autorisiert."
"Customweb_OPPCw::Successfull online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Customweb_OPPCw::Support","Support"
"Customweb_OPPCw::Switzerland","Switzerland"
"Customweb_OPPCw::Tax Amount","Steuerbetrag"
"Customweb_OPPCw::Technical Issue Message","Technische Fehlermeldung"
"Customweb_OPPCw::Technical issue: This payment methods is not available at the moment.","Technisches Problem: Diese Zahlungsmethode ist zur Zeit nicht verfügbar."
"Customweb_OPPCw::Terms and Conditions","Allgemeine Geschäftsbedingungen"
"Customweb_OPPCw::Test Mode","Test Modus"
"Customweb_OPPCw::Test Transaction","Testtransaktion"
"Customweb_OPPCw::The 'Integrator Test Mode' sends all payments to Open Payment Platform, but no financial institute is contacted. In the 'Connector Test Mode' the transaction is sent to the corresponding financial institute as test transaction. In live mode all transactions are processed.","The 'Integrator Test Mode' sends all payments to Open Payment Platform, but no financial institute is contacted. In the 'Connector Test Mode' the transaction is sent to the corresponding financial institute as test transaction. In live mode all transactions are processed."
"Customweb_OPPCw::The Entity ID is a unique key for the identification of the unit which sends transactions into the system.","The Entity ID is a unique key for the identification of the unit which sends transactions into the system."
"Customweb_OPPCw::The HMAC key as defined in the live backoffice of Open Payment Platform. You may need generate the HMAC key. Please take a look at the manual how to do this.","Der HMAC Key ist im Live Backoffice von Open Payment Platform angegeben. Eventuell müssen Sie den HMAC Key noch generieren. Eine Anleitung dazu finden Sie im Manual."
"Customweb_OPPCw::The IBAN is invalid.","The IBAN is invalid."
"Customweb_OPPCw::The IBAN is missing.","The IBAN is missing."
"Customweb_OPPCw::The Klarna payment method cannot be used by companies.","The Klarna payment method cannot be used by companies."
"Customweb_OPPCw::The Klarna payment method cannot be used in the customer's country.","The Klarna payment method cannot be used in the customer's country."
"Customweb_OPPCw::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Das SEPA Mandat Scheme enthält leider nich die Bezeichnung '!tag'. Diese Bezeichnung ist aber Pflicht."
"Customweb_OPPCw::The SHA signatures do not match.","The SHA signatures do not match."
"Customweb_OPPCw::The VAT category is invalid.","The VAT category is invalid."
"Customweb_OPPCw::The VAT category is missing.","The VAT category is missing."
"Customweb_OPPCw::The VAT number is missing.","The VAT number is missing."
"Customweb_OPPCw::The alias could not be found.","Der Alias konnte nicht gefunden werden."
"Customweb_OPPCw::The alias has been deleted.","Der Alias wurde gelöscht"
"Customweb_OPPCw::The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by Open Payment Platform.","The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by Open Payment Platform."
"Customweb_OPPCw::The alias transaction could not be conductet with error code: !code, and reason: !reason:","Die Alias Transaktion konnte nicht durchgeführt werden. Fehlermeldung: !code und Grund: !reason."
"Customweb_OPPCw::The amount could not be verified.","Der Betrag konnte nicht verifiziert werden."
"Customweb_OPPCw::The amount of !amount is authorized.","Der Betrag von '!amount' wurde autorisiert."
"Customweb_OPPCw::The amount of !amount is captured.","Der Betrag von !amount ist verbucht."
"Customweb_OPPCw::The authorization is confirmed.","The authorization is confirmed."
"Customweb_OPPCw::The authorization is denied: !errorMessage","The authorization is denied: !errorMessage"
"Customweb_OPPCw::The authorization method '!method' is not supported.","Die Autorisierungsmethode '!method' ist nicht unterstützt."
"Customweb_OPPCw::The authorization was denied.","Die Autorisierung wurde abgelehnt."
"Customweb_OPPCw::The authorization was not successful","Autorisierungsfehler. Die Autorisierung war nicht erfolgreich."
"Customweb_OPPCw::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","Der Kreditkartenanbieter wird anhand der Kartennummer falls Hidden Authorization benutzt wird. Wird die Zahlungsseite (Payment Page) benutzt, muss der Nutzer den Anbieter manuell auswählen. Über diese Einstellung können auch die akzeptierten Kreditkartenanbieter eingeschränkt werden."
"Customweb_OPPCw::The brand with external name '!key' was not present in the map.","Der Kreditkartenbrand mit dem Namen '!key' konnte nicht zugeordnet werden."
"Customweb_OPPCw::The brand with key '!key' was not found in the card information map.","Der Kreditkarten Brand mit dem '!key' wurde nicht gefunden in der Karteninformationsmap."
"Customweb_OPPCw::The cancellation could not be conducted. Error code: !error.","Die Stornierung konnte nicht durchgeführt werden. Fehlercode: !error."
"Customweb_OPPCw::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","Der Verbuchungsbetrag von '!captureAmount' kann nicht grösser sein als der autorisierte Betrag von '!authorizedAmount'."
"Customweb_OPPCw::The capture failed.","Die Erfassung ist fehlgeschlagen."
"Customweb_OPPCw::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Der verbuchte Artikel mit der Bestandseinheit @sku hat einen höheren Wert (@amountItem) als der ursprüngliche Artikel (@amountOriginal)."
"Customweb_OPPCw::The capture item with SKU '@sku' is not present in the original order.","Der verbuchte Artikel mit der Bestandseinheit @sku ist in der ursprünglichen Bestellung nicht vorhanden."
"Customweb_OPPCw::The capturing could not be conducted. Error code: !error.","Die Verbuchung konnte nicht durchgeführt werden. Fehlercode: !error."
"Customweb_OPPCw::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","Die Auswahl des Kartenanbieters wird abhängig von der eingegebenen Kartennummer automatisch durchgeführt. Falls JavaScript im Browser nicht aktiviert ist, wird ein Dropdown-Menü angezeigt. Ist JavaScript aktiv, können die Logos der Anbieter gezeigt werden, sofern die Image Brand Selection aktiviert ist."
"Customweb_OPPCw::The chamber of commerce number is incorrect.","The chamber of commerce number is incorrect."
"Customweb_OPPCw::The chamber of commerce number is missing.","The chamber of commerce number is missing."
"Customweb_OPPCw::The channel ID is a unique key for the identification of the unit which sends transactions into the system.","The channel ID is a unique key for the identification of the unit which sends transactions into the system."
"Customweb_OPPCw::The comapny name is incorrect.","The comapny name is incorrect."
"Customweb_OPPCw::The company name is missing.","The company name is missing."
"Customweb_OPPCw::The company vat number number needs to be set.","The company vat number number needs to be set."
"Customweb_OPPCw::The configuration has been saved.","Die Konfiguration wurde gespeichert."
"Customweb_OPPCw::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","Die Controller Class '@controller' bietet keine Methode mit der Beschriftung 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' und gültigem Output."
"Customweb_OPPCw::The country code of the phone number is invalid.","The country code of the phone number is invalid."
"Customweb_OPPCw::The country code of the phone number is missing.","The country code of the phone number is missing."
"Customweb_OPPCw::The currency preference is invalid.","The currency preference is invalid."
"Customweb_OPPCw::The currency preference is missing.","The currency preference is missing."
"Customweb_OPPCw::The customer can decide, how to receive the invoice.","Der Kunde kann entscheiden, ob dieser die Rechnung via E-Mail oder via Post erhält."
"Customweb_OPPCw::The customer does not finish the payment with in the timeout.","Der Kunde hat die Zahlung nicht innerhalb des Timeouts abgeschlossen."
"Customweb_OPPCw::The date of birth is invalid.","The date of birth is invalid."
"Customweb_OPPCw::The date of birth is missing.","The date of birth is missing."
"Customweb_OPPCw::The date of birth is required.","Das Geburtsdatum muss angegeben werden."
"Customweb_OPPCw::The date of birth needs to be set.","The date of birth needs to be set."
"Customweb_OPPCw::The debtor ID for processing SEPA mandates.","The debtor ID for processing SEPA mandates."
"Customweb_OPPCw::The department name is invalid.","The department name is invalid."
"Customweb_OPPCw::The department name is missing.","The department name is missing."
"Customweb_OPPCw::The email address is invalid.","The email address is invalid."
"Customweb_OPPCw::The email address is missing.","The email address is missing."
"Customweb_OPPCw::The establishment number is invalid.","The establishment number is invalid."
"Customweb_OPPCw::The establishment number is missing.","The establishment number is missing."
"Customweb_OPPCw::The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","Die erste von drei möglichen Zeilen, die im Account und auf Kreditkartenstatements angezeigt wird. Diese Zeile kann bis zu 27 Zeichen lang sein, alle weiteren Zeichen werden nicht mehr angezeigt."
"Customweb_OPPCw::The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","Die erste von drei möglichen Zeilen, die auf Kontoauszügen oder Kreditkartenabrechnungen angezeigt werden kann. Sie kann bis zu 27 Zeichen lang sein, alle weiteren Zeichen werden abgeschnitten. Der Platzhalter  {reference_id} kann benutzt werden, um die Referenznummer auf dem Kontoauszug anzuzeigen."
"Customweb_OPPCw::The gender is required.","Geschlecht muss angegeben werden."
"Customweb_OPPCw::The given BIC is invalid.","Die angegebene BIC ist ungültig."
"Customweb_OPPCw::The given CVC code has the wrong length.","Der angegebene CVC Code hat eine ungültige Länge."
"Customweb_OPPCw::The given IBAN is invalid.","Die angegebene IBAN ist ungültig."
"Customweb_OPPCw::The given address was invalid.","Die angegebene Adresse ist ungültig."
"Customweb_OPPCw::The given card number has an invalid check sum.","Die angegebene Kartennummer hat eine ungültige Check Summe."
"Customweb_OPPCw::The given card number has an invalid length.","Die angegebene Kartennummer hat eine ungültige Länge."
"Customweb_OPPCw::The given hmac key is empty.","Der HMAC Key ist ungültig."
"Customweb_OPPCw::The given identifier is empty.","Der Identifier ist ungültig."
"Customweb_OPPCw::The given password is empty.","Das Passwort ist ungültig."
"Customweb_OPPCw::The given rang is empty. It must be a nummeric value with length of two.","Der gegebene Rang ist leer. Er muss eine zweistellige Nummer sein."
"Customweb_OPPCw::The given rang is invalid. It must be a nummeric value with length of two.","Der gegebene Rang ist ungültig. Er muss eine zweistellige Nummer sein."
"Customweb_OPPCw::The given site number is empty.","Es wurde keine Seitenzahl angegeben."
"Customweb_OPPCw::The given transaction is not of type Customweb_OPPCw_Authorization_Transaction.","Die angegebene Transaktion ist nicht vom Typ Customweb_OPPCw_Authorization_Transaction."
"Customweb_OPPCw::The height of the iframe containing the input field.","Die Höhe des iFrame, welches das Input-Feld beinhaltet."
"Customweb_OPPCw::The house number addition is invalid.","The house number addition is invalid."
"Customweb_OPPCw::The house number addition is missing.","The house number addition is missing."
"Customweb_OPPCw::The house number is invalid.","The house number is invalid."
"Customweb_OPPCw::The house number is missing.","The house number is missing."
"Customweb_OPPCw::The identifier as defined in the backoffice of Open Payment Platform.","Der Identifier, wie er im Open Payment Platform Backoffice angegeben ist."
"Customweb_OPPCw::The initials are invalid.","The initials are invalid."
"Customweb_OPPCw::The initials are missing.","The initials are missing."
"Customweb_OPPCw::The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel.","The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel."
"Customweb_OPPCw::The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel. This is only needed by the hidden authorization.","The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel. This is only needed by the hidden authorization."
"Customweb_OPPCw::The invoice could not be captured and processed by","Die Rechung konnte bei Open Payment Platform nicht gebucht und verarbeitet werden"
"Customweb_OPPCw::The invoice could not be captured and processed. Reason:","Die Rechnung konnte nicht verbucht und verarbeitet werden. Grund: !reason."
"Customweb_OPPCw::The invoice could not be found.","Die Rechung konnte nicht gefunden werden."
"Customweb_OPPCw::The invoice has been changed.","Die Rechnung wurde geändert."
"Customweb_OPPCw::The invoice no longer exists.","Die Rechnung existiert nicht mehr."
"Customweb_OPPCw::The language preference is invalid.","The language preference is invalid."
"Customweb_OPPCw::The language preference is missing.","The language preference is missing."
"Customweb_OPPCw::The layout does not contain the tag '!layout_tag'.","Das Layout enhält nicht den Tag '!layout_tag'."
"Customweb_OPPCw::The merchant id provided by Open Payment Platform","Die von Open Payment Platform angegebene Merchant ID."
"Customweb_OPPCw::The merchant name, displayed to customer on SEPA mandates.","The merchant name, displayed to customer on SEPA mandates."
"Customweb_OPPCw::The minimum age for ordering with Payolution is 18 years.","Das Mindestalter für die Bestellung mit Payolution beträgt 18 Jahre."
"Customweb_OPPCw::The name of the city is invalid.","The name of the city is invalid."
"Customweb_OPPCw::The name of the city is missing.","The name of the city is missing."
"Customweb_OPPCw::The name prefix is invalid.","The name prefix is invalid."
"Customweb_OPPCw::The name prefix is missing.","The name prefix is missing."
"Customweb_OPPCw::The next update execution date indicates when the next cron is run to update the transaction state.","Das nächste Ausführungsdatum für upades zeigt Ihnen an, wann der nächste cron für das Update des Transaktionsstatus läuft."
"Customweb_OPPCw::The order is not fully completed. Please contact the store owner.","Die Zahlung konnte nicht durchgeführt werden."
"Customweb_OPPCw::The order number is already excisting.","The order number is already excisting."
"Customweb_OPPCw::The order number is invalid.","The order number is invalid."
"Customweb_OPPCw::The order number is missing.","The order number is missing."
"Customweb_OPPCw::The orderline is invalid.","The orderline is invalid."
"Customweb_OPPCw::The orderline is missing.","The orderline is missing."
"Customweb_OPPCw::The parameters ""3DSIGNVAL"" was false.","Der Parameter  ""3DSIGNVAL"" ist ungültig."
