"* Required Fields","* Erforderliche Felder"
"Submit Order","Bestellung absenden"
"Submitting order information...","Bestellungsinformation übermitteln..."
"Subtotal","Zwischensumme"
"Success","Erfolgreich"
"Successful","Erfolgreich"
"Successful online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Successful payment authorization.","Die Zahlung wurde erfolgreich autorisiert."
"Successfull online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Support","Support"
"Switzerland","Switzerland"
"Tax Amount","Steuerbetrag"
"Technical Issue Message","Technische Fehlermeldung"
"Technical issue: This payment methods is not available at the moment.","Technisches Problem: Diese Zahlungsmethode ist zur Zeit nicht verfügbar."
"Terms and Conditions","Allgemeine Geschäftsbedingungen"
"Test Mode","Test Modus"
"Test Transaction","Testtransaktion"
"The 'Integrator Test Mode' sends all payments to Open Payment Platform, but no financial institute is contacted. In the 'Connector Test Mode' the transaction is sent to the corresponding financial institute as test transaction. In live mode all transactions are processed.","The 'Integrator Test Mode' sends all payments to Open Payment Platform, but no financial institute is contacted. In the 'Connector Test Mode' the transaction is sent to the corresponding financial institute as test transaction. In live mode all transactions are processed."
"The Entity ID is a unique key for the identification of the unit which sends transactions into the system.","The Entity ID is a unique key for the identification of the unit which sends transactions into the system."
"The HMAC key as defined in the live backoffice of Open Payment Platform. You may need generate the HMAC key. Please take a look at the manual how to do this.","Der HMAC Key ist im Live Backoffice von Open Payment Platform angegeben. Eventuell müssen Sie den HMAC Key noch generieren. Eine Anleitung dazu finden Sie im Manual."
"The IBAN is invalid.","The IBAN is invalid."
"The IBAN is missing.","The IBAN is missing."
"The Klarna payment method cannot be used by companies.","The Klarna payment method cannot be used by companies."
"The Klarna payment method cannot be used in the customer's country.","The Klarna payment method cannot be used in the customer's country."
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Das SEPA Mandat Scheme enthält leider nich die Bezeichnung '!tag'. Diese Bezeichnung ist aber Pflicht."
"The SHA signatures do not match.","The SHA signatures do not match."
"The VAT category is invalid.","The VAT category is invalid."
"The VAT category is missing.","The VAT category is missing."
"The VAT number is missing.","The VAT number is missing."
"The alias could not be found.","Der Alias konnte nicht gefunden werden."
"The alias has been deleted.","Der Alias wurde gelöscht"
"The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by Open Payment Platform.","The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by Open Payment Platform."
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","Die Alias Transaktion konnte nicht durchgeführt werden. Fehlermeldung: !code und Grund: !reason."
"The amount could not be verified.","Der Betrag konnte nicht verifiziert werden."
"The amount of !amount is authorized.","Der Betrag von '!amount' wurde autorisiert."
"The amount of !amount is captured.","Der Betrag von !amount ist verbucht."
"The authorization is confirmed.","The authorization is confirmed."
"The authorization is denied: !errorMessage","The authorization is denied: !errorMessage"
"The authorization method '!method' is not supported.","Die Autorisierungsmethode '!method' ist nicht unterstützt."
"The authorization was denied.","Die Autorisierung wurde abgelehnt."
"The authorization was not successful","Autorisierungsfehler. Die Autorisierung war nicht erfolgreich."
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","Der Kreditkartenanbieter wird anhand der Kartennummer falls Hidden Authorization benutzt wird. Wird die Zahlungsseite (Payment Page) benutzt, muss der Nutzer den Anbieter manuell auswählen. Über diese Einstellung können auch die akzeptierten Kreditkartenanbieter eingeschränkt werden."
"The brand with external name '!key' was not present in the map.","Der Kreditkartenbrand mit dem Namen '!key' konnte nicht zugeordnet werden."
"The brand with key '!key' was not found in the card information map.","Der Kreditkarten Brand mit dem '!key' wurde nicht gefunden in der Karteninformationsmap."
"The cancellation could not be conducted. Error code: !error.","Die Stornierung konnte nicht durchgeführt werden. Fehlercode: !error."
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","Der Verbuchungsbetrag von '!captureAmount' kann nicht grösser sein als der autorisierte Betrag von '!authorizedAmount'."
"The capture failed.","Die Erfassung ist fehlgeschlagen."
"The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Der verbuchte Artikel mit der Bestandseinheit @sku hat einen höheren Wert (@amountItem) als der ursprüngliche Artikel (@amountOriginal)."
"The capture item with SKU '@sku' is not present in the original order.","Der verbuchte Artikel mit der Bestandseinheit @sku ist in der ursprünglichen Bestellung nicht vorhanden."
"The capturing could not be conducted. Error code: !error.","Die Verbuchung konnte nicht durchgeführt werden. Fehlercode: !error."
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","Die Auswahl des Kartenanbieters wird abhängig von der eingegebenen Kartennummer automatisch durchgeführt. Falls JavaScript im Browser nicht aktiviert ist, wird ein Dropdown-Menü angezeigt. Ist JavaScript aktiv, können die Logos der Anbieter gezeigt werden, sofern die Image Brand Selection aktiviert ist."
"The chamber of commerce number is incorrect.","The chamber of commerce number is incorrect."
"The chamber of commerce number is missing.","The chamber of commerce number is missing."
"The channel ID is a unique key for the identification of the unit which sends transactions into the system.","The channel ID is a unique key for the identification of the unit which sends transactions into the system."
"The comapny name is incorrect.","The comapny name is incorrect."
"The company name is missing.","The company name is missing."
"The company vat number number needs to be set.","The company vat number number needs to be set."
"The configuration has been saved.","Die Konfiguration wurde gespeichert."
"The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","Die Controller Class '@controller' bietet keine Methode mit der Beschriftung 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' und gültigem Output."
"The country code of the phone number is invalid.","The country code of the phone number is invalid."
"The country code of the phone number is missing.","The country code of the phone number is missing."
"The currency preference is invalid.","The currency preference is invalid."
"The currency preference is missing.","The currency preference is missing."
"The customer can decide, how to receive the invoice.","Der Kunde kann entscheiden, ob dieser die Rechnung via E-Mail oder via Post erhält."
"The customer does not finish the payment with in the timeout.","Der Kunde hat die Zahlung nicht innerhalb des Timeouts abgeschlossen."
"The date of birth is invalid.","The date of birth is invalid."
"The date of birth is missing.","The date of birth is missing."
"The date of birth is required.","Das Geburtsdatum muss angegeben werden."
"The date of birth needs to be set.","The date of birth needs to be set."
"The debtor ID for processing SEPA mandates.","The debtor ID for processing SEPA mandates."
"The department name is invalid.","The department name is invalid."
"The department name is missing.","The department name is missing."
"The email address is invalid.","The email address is invalid."
"The email address is missing.","The email address is missing."
"The establishment number is invalid.","The establishment number is invalid."
"The establishment number is missing.","The establishment number is missing."
"The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","Die erste von drei möglichen Zeilen, die im Account und auf Kreditkartenstatements angezeigt wird. Diese Zeile kann bis zu 27 Zeichen lang sein, alle weiteren Zeichen werden nicht mehr angezeigt."
"The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","Die erste von drei möglichen Zeilen, die auf Kontoauszügen oder Kreditkartenabrechnungen angezeigt werden kann. Sie kann bis zu 27 Zeichen lang sein, alle weiteren Zeichen werden abgeschnitten. Der Platzhalter  {reference_id} kann benutzt werden, um die Referenznummer auf dem Kontoauszug anzuzeigen."
"The gender is required.","Geschlecht muss angegeben werden."
"The given BIC is invalid.","Die angegebene BIC ist ungültig."
"The given CVC code has the wrong length.","Der angegebene CVC Code hat eine ungültige Länge."
"The given IBAN is invalid.","Die angegebene IBAN ist ungültig."
"The given address was invalid.","Die angegebene Adresse ist ungültig."
"The given card number has an invalid check sum.","Die angegebene Kartennummer hat eine ungültige Check Summe."
"The given card number has an invalid length.","Die angegebene Kartennummer hat eine ungültige Länge."
"The given hmac key is empty.","Der HMAC Key ist ungültig."
"The given identifier is empty.","Der Identifier ist ungültig."
"The given password is empty.","Das Passwort ist ungültig."
"The given rang is empty. It must be a nummeric value with length of two.","Der gegebene Rang ist leer. Er muss eine zweistellige Nummer sein."
"The given rang is invalid. It must be a nummeric value with length of two.","Der gegebene Rang ist ungültig. Er muss eine zweistellige Nummer sein."
"The given site number is empty.","Es wurde keine Seitenzahl angegeben."
"The given transaction is not of type Customweb_OPPCw_Authorization_Transaction.","Die angegebene Transaktion ist nicht vom Typ Customweb_OPPCw_Authorization_Transaction."
"The height of the iframe containing the input field.","Die Höhe des iFrame, welches das Input-Feld beinhaltet."
"The house number addition is invalid.","The house number addition is invalid."
"The house number addition is missing.","The house number addition is missing."
"The house number is invalid.","The house number is invalid."
"The house number is missing.","The house number is missing."
"The identifier as defined in the backoffice of Open Payment Platform.","Der Identifier, wie er im Open Payment Platform Backoffice angegeben ist."
"The initials are invalid.","The initials are invalid."
"The initials are missing.","The initials are missing."
"The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel.","The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel."
"The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel. This is only needed by the hidden authorization.","The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel. This is only needed by the hidden authorization."
"The invoice could not be captured and processed by","Die Rechung konnte bei Open Payment Platform nicht gebucht und verarbeitet werden"
"The invoice could not be captured and processed. Reason:","Die Rechnung konnte nicht verbucht und verarbeitet werden. Grund: !reason."
"The invoice could not be found.","Die Rechung konnte nicht gefunden werden."
"The invoice has been changed.","Die Rechnung wurde geändert."
"The invoice no longer exists.","Die Rechnung existiert nicht mehr."
"The language preference is invalid.","The language preference is invalid."
"The language preference is missing.","The language preference is missing."
"The layout does not contain the tag '!layout_tag'.","Das Layout enhält nicht den Tag '!layout_tag'."
"The merchant id provided by Open Payment Platform","Die von Open Payment Platform angegebene Merchant ID."
"The merchant name, displayed to customer on SEPA mandates.","The merchant name, displayed to customer on SEPA mandates."
"The minimum age for ordering with Payolution is 18 years.","Das Mindestalter für die Bestellung mit Payolution beträgt 18 Jahre."
"The name of the city is invalid.","The name of the city is invalid."
"The name of the city is missing.","The name of the city is missing."
"The name prefix is invalid.","The name prefix is invalid."
"The name prefix is missing.","The name prefix is missing."
"The next update execution date indicates when the next cron is run to update the transaction state.","Das nächste Ausführungsdatum für upades zeigt Ihnen an, wann der nächste cron für das Update des Transaktionsstatus läuft."
"The order is not fully completed. Please contact the store owner.","Die Zahlung konnte nicht durchgeführt werden."
"The order number is already excisting.","The order number is already excisting."
"The order number is invalid.","The order number is invalid."
"The order number is missing.","The order number is missing."
"The orderline is invalid.","The orderline is invalid."
"The orderline is missing.","The orderline is missing."
"The parameters ""3DSIGNVAL"" was false.","Der Parameter  ""3DSIGNVAL"" ist ungültig."
"The parent transaction reference already exists.","The parent transaction reference already exists."
"The parent transaction reference is invalid.","The parent transaction reference is invalid."
"The parent transaction reference is missing.","The parent transaction reference is missing."
"The password is provided by Open Payment Platform.","The password is provided by Open Payment Platform."
"The payment could not be authorized, because it is not certain.","The payment could not be authorized, because it is not certain."
"The payment form will be displayed after submitting the order.","Das Bezahlformular wird nach dem Absenden der Bestellung angezeigt."
"The payment has been accepted.","Die Zahlung wurde akzeptiert"
"The payment has been denied.","Die Zahlung wurde abgelehnt."
"The payment method !paymentMethod does not support recurring payment.","The payment method !paymentMethod does not support recurring payment."
"The payment method !paymentMethodName does not support the currency '!currency'.","Die Zahlweise '!paymentMethodName' unterstützt die Währung '!currency' nicht."
"The payment method !paymentMethodName is not available in your country ('!country').","Die Zahlungsmethode '!paymentMethodName' ist in Ihrem Land ('!country') nicht verfügbar."
"The payment method '!paymentMethod' cannot be used for Moto payments.","The payment method '!paymentMethod' cannot be used for Moto payments."
"The payment update has been made.","Das Zahlungsupdate wurde ausgeführt."
"The portal id provided by Open Payment Platform","Die von Open Payment Platform angegebene Portal ID."
"The postal code is invalid.","The postal code is invalid."
"The postal code is missing.","The postal code is missing."
"The product quantity is invalid.","The product quantity is invalid."
"The product quantity is missing.","The product quantity is missing."
"The provided signature does not match with the one calculated.","Die eingegeben Signatur stimmt nicht mit der berechneten Signatur überein."
"The rang (PBX_RANG) as defined in the live backoffice of Open Payment Platform. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","Der Rang (PBX_RANG), wie er im Live Backoffice von Open Payment Platform_ angegeben ist. Er muss eine zweistellige Nummer sein. Im Backoffice wird er eventuell als dreistelliger Wert angezeigt. Sie müssen die erste Ziffer streichen."
"The refund announcement failed.","Die Refund Ankündigung ist fehlgeschlagen."
"The refund failed due to an unkown reason.","The refund failed due to an unkown reason."
"The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Der zurückerstattete Artikel mit der Bestandseinheit @sku hat einen höheren Betrag (@amountItem) als der ursprüngliche Artikel (@amountOriginal)."
"The refund item with SKU '@sku' is not present in the original order.","Der zurückerstattete Artikel mit der Bestandseinheit @sku ist in der ursprünglichen Bestellung nicht enthalten."
"The refunding could not be conducted. Error code: !error.","Die Rückerstattung konnte nicht durchgeführt werden. Fehlercode: !error."
"The response seems not to be valid.","The response seems not to be valid."
"The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","Die zweite von drei möglichen Zeilen, die im Account und auf Kreditkartenstatements angezeigt wird. Diese Zeile kann bis zu 27 Zeichen lang sein, alle weiteren Zeichen werden nicht mehr angezeigt."
"The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","Die erste von drei möglichen Zeilen, die auf Kontoauszügen oder Kreditkartenabrechnungen angezeigt werden kann. Sie kann bis zu 27 Zeichen lang sein, alle weiteren Zeichen werden abgeschnitten. Der Platzhalter  {reference_id} kann benutzt werden, um die Referenznummer auf dem Kontoauszug anzuzeigen."
"The secret key set in the Open Payment Platform backend, on .","Der Secret Key wird im Open Payment Platform backend festgelegt, unter ."
"The secret key set in the Open Payment Platform backend, on backendUrlLive____.","Der Secret Key im Open Payment Platform Backend auf backendUrlLive____."
"The sender ID is provided by Open Payment Platform.","The sender ID is provided by Open Payment Platform."
"The sender ID is provided by Open Payment Platform. This is only needed by the hidden authorization.","The sender ID is provided by Open Payment Platform. This is only needed by the hidden authorization."
"The shopping cart has been altered!","Der Warenkorb wurde verändert!"
"The signature could not be verified.","Die Signatur konnte nicht verifiziert werden."
"The site id (PBX_RANG) as defined in the backoffice of Open Payment Platform.","Die Site ID (PBX_RANG) wie Sie im Backoffice von Open Payment Platform angegeben ist."
"The style of the input field, using inline CSS. This style will be appkied if 'Use Style' is set to 'Inline Style'.","Der Stil des Input-Feld benutzt inline CSS. Dieser Stil wird verwendet, wenn 'Use Style' auf 'Inline Style' gesetzt ist."
"The sub account id provided by Open Payment Platform","Die von Open Payment Platform angegebene Sub Account ID."
"The surname is invalid.","The surname is invalid."
"The surname is missing.","The surname is missing."
"The telephone number is invalid.","The telephone number is invalid."
"The telephone number is missing.","The telephone number is missing."
"The text which will be displayed on the account- and credit card statements. This will be cut at 27 characters to make a new line. It is not possible to force a new line throught the us of e.g. spaces ("" "").","Der Text, der auf der Rechnungslegung und Kreditkartenabrechnungen steht . Dieser wird bei 27 Zeichen abgeschnitten, um eine neue Zeile zu erstellen. Es ist nicht möglich, eine neue Linie zu forcieren, indem man z.B spaces ("" "") verwendet."
"The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","Die dritte von drei möglichen Zeilen, die im Account und auf Kreditkartenstatements angezeigt wird. Diese Zeile kann bis zu 27 Zeichen lang sein, alle weiteren Zeichen werden nicht mehr angezeigt."
"The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","Die dritte von drei möglichen Zeilen, die auf Kontoauszügen oder Kreditkartenabrechnungen angezeigt werden kann. Sie kann bis zu 27 Zeichen lang sein, alle weiteren Zeichen werden abgeschnitten. Der Platzhalter  {reference_id} kann benutzt werden, um die Referenznummer auf dem Kontoauszug anzuzeigen."
"The total order amount is invalid.","The total order amount is invalid."
"The total order amount is missing.","The total order amount is missing."
"The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Der Totale gutzuschreibende Betrag von '!totalRefundedAmount' kann nicht grösser sein als der verbuchte Betrag von '!capturedAmount'."
"The transaction cannot be cancelled online.","Die Transaktion kann nicht online storniert werden."
"The transaction cannot be captured online.","Die Transaktion kann nicht online erfasst werden."
"The transaction cannot be refunded online.","Die Transaktion kann nicht online zurückerstattet werden."
"The transaction failed due to an unknown reason.","The transaction failed due to an unknown reason."
"The transaction failed with error code !code.","Die Transaktion ist fehlgeschlagen. Fehlermeldung: !code"
"The transaction is only executed in the test system. The goods should not be delivered.","Die Transaktion wird nur im Testsystem durchgeführt. Die Waren sollen nicht geliefert werden."
"The transaction reaches an invalid state, because the response of Open Payment Platform does corresponds to the specification. Most likely your account is misconfigured (e.g. wrong entity ID).","The transaction reaches an invalid state, because the response of Open Payment Platform does corresponds to the specification. Most likely your account is misconfigured (e.g. wrong entity ID)."
"The transaction was cancelled by the user.","Die Transaktion wurde vom Nutzer abgebrochen."
"The unit price is invalid.","The unit price is invalid."
"The unit price is missing.","The unit price is missing."
"The user ID is provided by Open Payment Platform.","The user ID is provided by Open Payment Platform."
"The validation at step authorize is not supported for ajax and hidden authorization","Die Validierung in der Autorisierungsphase wird für Ajax und Hidden Authorization nicht unterstützt."
"The whole transaction is cancelled.","Die gesamte Transaktion wurde storniert."
"The width of the iframe containing the input field.","Die Breite des iFame, welches das Input-Feld beinhaltet."
"There has been a problem during the processing of your payment.","Während der Verarbeitung der Zahlung ist ein Problem aufgetreten."
"There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Während der Verarbeitung der Zahlung ist ein Problem aufgetreten. Bitte kontaktieren Sie den Shop-Betreiber um sicherzugehen, dass die Bestellung erfolgreich erfasst wurde."
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Es besteht ein Problem mit Ihrer Lizenz. Bitte kontaktieren Sie uns (www.sellxed.com/support). Reason: %1"
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Es ist bereits ein Kunde mit dieser E-Mail-Adresse registriert. Bitte mit dieser E-Mail-Adresse anmelden, oder eine andere E-Mail-Adresse eingeben um ihren Account zu registrieren."
"There is some information missing.","There is some information missing."
"There seems to be a problem with the Open Payment Platform module.","Es scheint ein Problem mit dem Open Payment Platform-Modul  zu geben."
"There was an error validating the login and password.","Ein Fehler ist bei der Validierung der Logindaten und des Passworts aufgetreten."
"This URL has to be entered in the backend of Open Payment Platform as TransactionStatus URL.","Diese URL muss im Open Payment Platform Backend als TransactionStatus URL eingegeben werden."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Dieser Account ist nicht verifiziert. <a href=""%s"">Klicken Sie hier</a> um die Bestätigungsemail erneut zu versenden."
"This is a brief installation instruction of the main and most important installation steps. It is important that you strictly follow the check-list. Only by doing so, the secure usage in correspondence with all security regulations can be guaranteed.","Hier werden die wichtigsten Installationsschritte erläutert. Bitte befolgen Sie die einzelnen Punkte der Checkliste genau. Nur so kann ein sicherer Einsatz unter Einhaltung aller Sicherheitsregularien gewährleistet werden."
"This is a brief instruction of the main and most important installation steps, which need to be performed when installing the Open Payment Platform module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip.","This is a brief instruction of the main and most important installation steps, which need to be performed when installing the Open Payment Platform module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip."
"This message is returned by Open Payment Platform for this transaction.","This message is returned by Open Payment Platform for this transaction."
"This message is shown to the customer, when he fails to pass the solvency check.","Diese Nachricht wird dem Kunden angezeigt, wenn dieser die Bonitätsprüfung nicht besteht."
"This message is shown to the customer, when the system of Open Payment Platform is not reachable or unavailable.","Diese Nachricht wird dem Kunden angezeigt, wenn das System von Open Payment Platform nicht erreichbar ist."
"This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Open Payment Platform account.","Dieses Passwort wird für wiederkehrende Zahlungen sowie für den Alias Manager und die Service Autorisierung benutzt. Dies ist das Passwort für den Open Payment Platform Account."
"This payment method is unavailable.","Diese Zahlungsmethode ist nicht verfügbar."
"This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","Anhand dieser Einstellung können Sie die 3D Secure Überprüfung aktivieren bzw. deaktivieren. Bitte fragen Sie bei Paybox an, ob sie 3D Secure deaktivieren dürfen. Diese Einstellung ist nur relevant, wenn Sie Payment Page benutzen."
"This status is set, when the payment was successfull and it is authorized.","Dieser Status wird vergeben, wenn eine Zahlung erfolgreich war und autorisiert wurde."
"This transaction is already closed for further captures.","Diese Transaktion ist bereits geschlossen und es können keine weiteren Buchungen vorgenommen werden."
"This transaction is already closed for further refunds.","Diese Transaktion wurde für weitere Gutschriften bereits geschlossen."
"This transaction no longer exists.","Diese Transaktion existiert nicht mehr."
"Timeout for pending payments (min)","Timeout für ausstehende Zahlungen (Min.)"
"Titel","Titel"
"Title","Titel"
"Title of the payment method","Name der Zahlungsmethode"
"To use the Klarna payment method, please specify the Klarna merchant id (EID).","To use the Klarna payment method, please specify the Klarna merchant id (EID)."
"To use the Klarna payment method, the billing and shipping addresses must not differ.","To use the Klarna payment method, the billing and shipping addresses must not differ."
"To use this payment method you need to add a state to your address.","To use this payment method you need to add a state to your address."
"Total","Total"
"Total Shipping Charges","Total Lieferkosten"
"Track order history","Getätigte Bestellungen verfolgen"
"Transaction","Transaktion"
"Transaction Authorized","Transaktion autorisiert"
"Transaction Cancelled","Transaktion storniert"
"Transaction Captured","Transaktion verbucht"
"Transaction History","Transaktionsverlauf"
"Transaction Id","Transaktions-ID"
"Transaction Paid","Transaktion bezahlt"
"Transaction Uncertain","Transaktion ist unsicher"
"Transaction Updates","Transaktionsupdates"
"Transaction cancelled successfully","Die Transaktion wurde erfolgreich abgebrochen."
"Transaction captured successfully","Die Transaktoin wurde erfolgreich verbucht."
"Transaction failed with an unkown reason.","Transaktion fehlgeschlagen aufgrund eines unbekannten Grundes."
"Transaction failed with code @code and message @message.","Die Transaktion ist mit dem Code @code und der Mitteilung @message fehlgeschlagen."
"Transaction failed with code @code.","Die Transaktion mit dem Code @code ist fehlgeschlagen."
"Transaction history","Transaktionsübersicht"
"Transaction was authorized over the deferred authorization mechanism.","Die Transaktion wurde über den verzägerten Autorisierungsmechanismus autorisiert."
"TransactionStatus URL","Transaction Status URL"
"Transactions","Transaktionen"
"Unable to save the invoice.","Die Rechnung konnte nicht gespeichert werden."
"Uncertain Status","Unsicherer Status"
"Uncertain scoring","Unbekannte Beurteilung"
"Uncertain transactions","Unsichere Transaktionen"
"Unexpected transaction context type.","Unerwarteter Transaktionstyp"
"Unfortunately, we cannot handle this purchase via Klarna. Please select an alternative payment method to complete your order.","Unfortunately, we cannot handle this purchase via Klarna. Please select an alternative payment method to complete your order."
"United Kingdom","United Kingdom"
"Unknown error occurred while processing your request.","Während Ihre Anfrage bearbeitet wurde ist ein unbekannter Fehler aufgetreten."
"Update","Update"
"Update Qty's","Anzahl anpassen"
"Update interval for payments","Update Intervall für Zahlungen"
"Use Base Currency","Basiswährung verwenden"
"Use Default","Standardeinstellungen benutzen"
"Use Style","Style benutzen"
"Use base currency","Zahlung in der Standard Währung setteln."
"User ID","User ID"
"User Id","User Id"
"User Password","User Password"
"V PAY","V PAY"
"VISA","VISA"
"VISA (Debit)","VISA (Debit)"
"VISA Electron","VISA Electron"
"Validation","Validierung"
"Validation: The amounts do not match.","Validation: The amounts do not match."
"Validation: The currencies do not match.","Validation: The currencies do not match."
"Validation: The payment brands do not match.","Validation: The payment brands do not match."
"Validation: The payment types do not match.","Validation: The payment types do not match."
"Version","Version"
"Version 1 (Classic)","Version 1 (Classic)"
"Version 2 (PCI DSS SAQ A)","Version 2 (PCI DSS SAQ A)"
"View","Anzeigen"
"Visa","VISA"
"Wait On Success Page","Auf der Success Seite warten"
"Waiting for bank","Waiting for bank"
"Waiting for client payment","Waiting for client payment"
"Waiting for risk management","Waiting for risk management"
"We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because of various (temporary) reasons. We advise you to choose a different payment method to complete your order.","We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because of various (temporary) reasons. We advise you to choose a different payment method to complete your order."
"We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because one or more fields appeared to be incorrect. We advise you to check all entered values and try again or choose a different payment method to complete your order.","We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because one or more fields appeared to be incorrect. We advise you to check all entered values and try again or choose a different payment method to complete your order."
"We cannot get the transaction instance.","Wir können keine Transaktions-Instanz laden."
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Es gibt ein Problem mit Ihrem Zahlungsmodul. Für mehr Informationen, besuchen Sie für die Informationsseite des Plugins."
"Webhook Secret Key","Webhook Secret Key"
"Webhook URL","Webhook URL"
"When the store is not available (network outage, server failure or any other outage), when the feedback of Open Payment Platform is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","Wenn der Shop nicht erreichbar ist (Netzwerk- Serverausfall o.ä.) während das Feedback von  Open Payment Platform gesendet wird, wird der Transaktionsstatus nicht aktualisiert. Daher wird keine Bestätigungsmail für die Bestellung verwand und die Bestellung hat noch nicht den Status ""bezahlt"". Indem Sie Transaktionsupdates aktivieren, können solche Transaktionen über einen direkten Link aktualisiert werden. Um diesen Service zu nutzen, muss der Update Service aktiviert sein und der API Nutzername sowie das Passwort müssen festgelegt sein."
"When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Beim externen Checkout mit Adressübergabe hat der Kunde nach der Rückkehr aus dem Wallet die Möglichkeit sich einzuloggen (als gast, ein Konto erstellen oder mit den bestehenden Kundenkonto einloggen). Alternativ können Sie den Kunden zwingen immer als Gastkunde auszuchecken. In diesem Fall muss aber in Magento Gast Checkout als Option aktiviert sein."
"Wrapper for encrypted notifcation","Wrapper for encrypted notifcation"
"Year","Jahr"
"Yellow","Gelb"
"Yes","Ja"
"Yes, use images for the brand selection.","Logos für die Auswahl des Kartenanbieters benutzen."
"You can allow the customers to manage/delete their aliases in the their account.","Sie können Ihren Kunden gestatten ihre Aliasse auf ihrem Konto zu verwalten/löschen."
"You can change this brand code, if your PSP supports different countries for this payment method","You can change this brand code, if your PSP supports different countries for this payment method"
"You can configure under the Webhook in the backend of Open Payment Platform under Administration > Webhooks.","You can configure under the Webhook in the backend of Open Payment Platform under Administration > Webhooks."
"You can decide on the order status new orders should have after they are processed successfully.","Definieren Sie den Bestellstatus für Bestellungen, welche erfolgreich verarbeitet wurden."
"You can decide on the order status new orders should have that have an uncertain authorization status.","Definieren Sie den Bestellstatus für Bestellungen mit einer unisicheren Autorisierung."
"You can define custom parameters that are sent to the PSP with every request. Syntax: ""customParameters[RISK_MID]=123123"", one parameter per line.","You can define custom parameters that are sent to the PSP with every request. Syntax: ""customParameters[RISK_MID]=123123"", one parameter per line."
"You can restrict the available countries. If no country is selected all available will be shown.","You can restrict the available countries. If no country is selected all available will be shown."
