"Customweb_OPPCw::* Required Fields","* Required Fields"
"Customweb_OPPCw::Refunded Amount","Bedrag gecrediteerd"
"Customweb_OPPCw::Refunds","Refunds"
"Customweb_OPPCw::Register","Register"
"Customweb_OPPCw::Register to Create an Account","Register to Create an Account"
"Customweb_OPPCw::Register with us for future convenience:","Register with us for future convenience:"
"Customweb_OPPCw::Release Date","Release Date"
"Customweb_OPPCw::Review","Review"
"Customweb_OPPCw::Risk Based Capture","Risk Based Capture"
"Customweb_OPPCw::Rounding Adjustment","afronding aanpassingen"
"Customweb_OPPCw::Rounding Fee","Rounding Fee"
"Customweb_OPPCw::Row Total","Rijtotaal"
"Customweb_OPPCw::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_OPPCw::SKU:","SKU:"
"Customweb_OPPCw::Sales","Sales"
"Customweb_OPPCw::Sales Tax Number","Sales Tax nummer"
"Customweb_OPPCw::Save","Bewaren"
"Customweb_OPPCw::Saved cards:","Opgeslagen kaarten:"
"Customweb_OPPCw::Score","Score"
"Customweb_OPPCw::Scoring check executed","Scoring check executed"
"Customweb_OPPCw::Scoring check maximum","Scoring check maximum"
"Customweb_OPPCw::Scoring check minimum","Scoring check minimum"
"Customweb_OPPCw::Secret Key","Secret Key"
"Customweb_OPPCw::Secret for Encryption","Secret for Encryption"
"Customweb_OPPCw::Secret key","Secret key"
"Customweb_OPPCw::Security Hash","Security Hash"
"Customweb_OPPCw::Security Hash Secret","Security Hash"
"Customweb_OPPCw::Security Sender","Security Sender"
"Customweb_OPPCw::See order and shipping status","See order and shipping status"
"Customweb_OPPCw::Select 'ALL'","Select 'ALL'"
"Customweb_OPPCw::Select 'PA' and 'DB' for PAYMENTS and 'ALL' for REGISTRATIONS.","Select 'PA' and 'DB' for PAYMENTS and 'ALL' for REGISTRATIONS."
"Customweb_OPPCw::Select Brand","Kies een Merk"
"Customweb_OPPCw::Select Method","Select Method"
"Customweb_OPPCw::Select the authorization method to use for processing this payment method.","Selecteer de Autorisatie Methode voor deze betaalmethode."
"Customweb_OPPCw::Select the date of your birth.","Kies de datum van uw geboorte."
"Customweb_OPPCw::Select the date on which your card expires.","Selecteer de datum waarop uw kaart verloopt."
"Customweb_OPPCw::Select the hash calculation method to use. This value must correspond with the selected value in the back-end of Open Payment Platform.","Select the hash calculation method to use. This value must correspond with the selected value in the back-end of Open Payment Platform."
"Customweb_OPPCw::Selected IBAN","Selected IBAN"
"Customweb_OPPCw::Send Basket","Send Basket"
"Customweb_OPPCw::Send Invoice Email","Send Invoice Email"
"Customweb_OPPCw::Send amounts to Open Payment Platform in base currency.","Send amounts to Open Payment Platform in base currency."
"Customweb_OPPCw::Send amounts to Open Payment Platform in store's base currency.","Send amounts to Open Payment Platform in store's base currency."
"Customweb_OPPCw::Send basket","Send basket"
"Customweb_OPPCw::Send invoice email","Send invoice email"
"Customweb_OPPCw::Send it by e-mail.","Send it by e-mail."
"Customweb_OPPCw::Send it by postal services.","Send it by postal services."
"Customweb_OPPCw::Send the invoice email automatically after invoice creation.","Send the invoice email automatically after invoice creation."
"Customweb_OPPCw::Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Voor 'Directe Boeking' het bedrag wordt direct in mindering gebracht na betaling voltooid. Voor 'Vertraagde boeking' het bedrag wordt gedebiteerd pas na een bepaalde periode van je."
"Customweb_OPPCw::Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Customweb_OPPCw::Set to 'none'.","Set to 'none'."
"Customweb_OPPCw::Settlement after order","Creatie na de bestelling"
"Customweb_OPPCw::Setup","Opstelling"
"Customweb_OPPCw::Shipping & Handling","Shipping & Handling"
"Customweb_OPPCw::Shipping Address","Shipping Address"
"Customweb_OPPCw::Shipping Amount","Verzending bedrag"
"Customweb_OPPCw::Shipping Information","Verzend Informatie"
"Customweb_OPPCw::Shipping Method","Shipping Method"
"Customweb_OPPCw::Shipping Methods","Shipping Methods"
"Customweb_OPPCw::Shipping Refund","Verzending terugbetaling"
"Customweb_OPPCw::Shipping provider","Shipping provider"
"Customweb_OPPCw::Shop","Shop"
"Customweb_OPPCw::Short Installation Instructions:","Korte installatie-instructies:"
"Customweb_OPPCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Moet het bedrag automatisch na de bestelling worden vastgelegd (direct) of moet het bedrag alleen worden gereserveerd (uitgestelde)?"
"Customweb_OPPCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)? If instructed to do so you can also choose the risk based capturing. But please note that this feature can only be used if your account has the option activated. Contact your service provider for more information.","Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)? If instructed to do so you can also choose the risk based capturing. But please note that this feature can only be used if your account has the option activated. Contact your service provider for more information."
"Customweb_OPPCw::Show","Show"
"Customweb_OPPCw::Show Account Selection","Show Account Selection"
"Customweb_OPPCw::Show Further Settings and Information","Toon meer instellingen en informatie"
"Customweb_OPPCw::Show Image","Show Image"
"Customweb_OPPCw::Show Payment Id","Show Payment Id"
"Customweb_OPPCw::Show the payment id","Show the payment id"
"Customweb_OPPCw::Show the payment id in the order information","Show the payment id in the order information"
"Customweb_OPPCw::Show the payment image","Show the payment image"
"Customweb_OPPCw::Show the payment image on the checkout page","Show the payment image on the checkout page"
"Customweb_OPPCw::Sign In","Sign In"
"Customweb_OPPCw::Slovak Republic","Slovak Republic"
"Customweb_OPPCw::Social Security Number","Social Security Number"
"Customweb_OPPCw::Sorry, your payment request has been declined by AfterPay.","Sorry, Afterpay kan uw betaling niet verder afhandelen."
"Customweb_OPPCw::Sort Code","Sort Code"
"Customweb_OPPCw::Sort Order","Schik de orde"
"Customweb_OPPCw::Spain","Spain"
"Customweb_OPPCw::State is required for country @country.","State is required for country @country."
"Customweb_OPPCw::Status","Status"
"Customweb_OPPCw::Status Message","Status Message"
"Customweb_OPPCw::Store the payment details","Store the payment details"
"Customweb_OPPCw::Stored payment details","Stored payment details"
"Customweb_OPPCw::Street","Street"
"Customweb_OPPCw::Sub Account ID","Sub Account ID"
"Customweb_OPPCw::Submit","Submit"
"Customweb_OPPCw::Submit Order","Submit Order"
"Customweb_OPPCw::Submitting order information...","Submitting order information..."
"Customweb_OPPCw::Subtotal","Subtotaal"
"Customweb_OPPCw::Success","Succes"
"Customweb_OPPCw::Successful","Met goed gevolg"
"Customweb_OPPCw::Successful online refund of amount","Succesvolle online teruggaaf van bedragen"
"Customweb_OPPCw::Successful payment authorization.","Succesvolle machtiging."
"Customweb_OPPCw::Successfull online refund of amount","Het bedrag werd met succes terugbetaald."
"Customweb_OPPCw::Support","Support"
"Customweb_OPPCw::Switzerland","Switzerland"
"Customweb_OPPCw::Tax Amount","Belastingbedrag"
"Customweb_OPPCw::Technical Issue Message","Technical Issue Message"
"Customweb_OPPCw::Technical issue: This payment methods is not available at the moment.","Technisch probleem: Deze betaalmethode is momenteel niet beschikbaar."
"Customweb_OPPCw::Terms and Conditions","Terms and Conditions"
"Customweb_OPPCw::Test Mode","Test Mode"
"Customweb_OPPCw::Test Transaction","Test Transaction"
"Customweb_OPPCw::The 'Integrator Test Mode' sends all payments to Open Payment Platform, but no financial institute is contacted. In the 'Connector Test Mode' the transaction is sent to the corresponding financial institute as test transaction. In live mode all transactions are processed.","De 'Integrator Test Mode' stuurt alle betalingen aan Open Payment Platform, maar geen financiële instelling wordt benaderd. In de 'Connector Test Mode' wordt de transactie de betrokken financiële instelling als testtransactie gestuurd. In de live-modus worden alle transacties worden verwerkt."
"Customweb_OPPCw::The Entity ID is a unique key for the identification of the unit which sends transactions into the system.","The Entity ID is a unique key for the identification of the unit which sends transactions into the system."
"Customweb_OPPCw::The HMAC key as defined in the live backoffice of Open Payment Platform. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of Open Payment Platform. You may need generate the HMAC key. Please take a look at the manual how to do this."
"Customweb_OPPCw::The IBAN is invalid.","Het IBAN is onjuist."
"Customweb_OPPCw::The IBAN is missing.","Het IBAN ontbreekt."
"Customweb_OPPCw::The Klarna payment method cannot be used by companies.","The Klarna payment method cannot be used by companies."
"Customweb_OPPCw::The Klarna payment method cannot be used in the customer's country.","The Klarna payment method cannot be used in the customer's country."
"Customweb_OPPCw::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","De SEPA-machtiging schema niet de tag 'tag!' Bevatten. Deze tag is nodig."
"Customweb_OPPCw::The SHA signatures do not match.","De SHA handtekeningen komen niet overeen."
"Customweb_OPPCw::The VAT category is invalid.","De btw-categorie is onjuist."
"Customweb_OPPCw::The VAT category is missing.","De btw-categorie ontbreekt."
"Customweb_OPPCw::The VAT number is missing.","Het btw-nummer ontbreekt."
"Customweb_OPPCw::The alias could not be found.","The alias could not be found."
"Customweb_OPPCw::The alias has been deleted.","De alias is verwijderd."
"Customweb_OPPCw::The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by Open Payment Platform.","De alias manager kan de klant om te betalen met een vooraf opgeslagen creditcard. De creditcard gegevens worden opgeslagen door Open Payment Platform."
"Customweb_OPPCw::The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"Customweb_OPPCw::The amount could not be verified.","The amount could not be verified."
"Customweb_OPPCw::The amount of !amount is authorized.","Het bedrag van !amount is toegestaan."
"Customweb_OPPCw::The amount of !amount is captured.","De hoeveelheid !amount wordt opgevangen."
"Customweb_OPPCw::The authorization is confirmed.","De toestemming wordt bevestigd."
"Customweb_OPPCw::The authorization is denied: !errorMessage","The authorization is denied: !errorMessage"
"Customweb_OPPCw::The authorization method '!method' is not supported.","De methode vergunning '!method' wordt niet ondersteund."
"Customweb_OPPCw::The authorization was denied.","The authorization was denied."
"Customweb_OPPCw::The authorization was not successful","The authorization was not successful"
"Customweb_OPPCw::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"Customweb_OPPCw::The brand with external name '!key' was not present in the map.","Het merk met externe naam  '!key' was niet in de kaart."
"Customweb_OPPCw::The brand with key '!key' was not found in the card information map.","Het merk met de belangrijkste !key'  werd niet gevonden in de kaartinformatie kaart."
"Customweb_OPPCw::The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"Customweb_OPPCw::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","De vangst bedrag (!captureAmount) kan niet hoger zijn dan het toegestane bedrag (!authorizedAmount)."
"Customweb_OPPCw::The capture failed.","The capture failed."
"Customweb_OPPCw::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_OPPCw::The capture item with SKU '@sku' is not present in the original order.","The capture item with SKU '@sku' is not present in the original order."
"Customweb_OPPCw::The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"Customweb_OPPCw::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?"
"Customweb_OPPCw::The chamber of commerce number is incorrect.","Het KvK-nummer is onjuist."
"Customweb_OPPCw::The chamber of commerce number is missing.","Het KvK-nummer ontbreekt."
"Customweb_OPPCw::The channel ID is a unique key for the identification of the unit which sends transactions into the system.","Het channel ID is een unieke sleutel aan het element dat de transactie stuurt het systeem te identificeren."
"Customweb_OPPCw::The comapny name is incorrect.","De bedrijfsnaam is onjuist."
"Customweb_OPPCw::The company name is missing.","De bedrijfsnaam ontbreekt."
"Customweb_OPPCw::The company vat number number needs to be set.","The company vat number number needs to be set."
"Customweb_OPPCw::The configuration has been saved.","De configuratie is opgeslagen."
"Customweb_OPPCw::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output."
"Customweb_OPPCw::The country code of the phone number is invalid.","De landcode is onjuist."
"Customweb_OPPCw::The country code of the phone number is missing.","De landcode ontbreekt."
"Customweb_OPPCw::The currency preference is invalid.","De valuta is onjuist."
"Customweb_OPPCw::The currency preference is missing.","De valuta ontbreekt."
"Customweb_OPPCw::The customer can decide, how to receive the invoice.","The customer can decide, how to receive the invoice."
"Customweb_OPPCw::The customer does not finish the payment with in the timeout.","The customer does not finish the payment with in the timeout."
"Customweb_OPPCw::The date of birth is invalid.","De geboortedatum is onjuist."
"Customweb_OPPCw::The date of birth is missing.","De geboortedatum ontbreekt."
"Customweb_OPPCw::The date of birth is required.","The date of birth is required."
"Customweb_OPPCw::The date of birth needs to be set.","The date of birth needs to be set."
"Customweb_OPPCw::The debtor ID for processing SEPA mandates.","The debtor ID for processing SEPA mandates."
"Customweb_OPPCw::The department name is invalid.","De afdeling is onjuist."
"Customweb_OPPCw::The department name is missing.","De afdeling ontbreekt."
"Customweb_OPPCw::The email address is invalid.","Het e-mailadres is onjuist."
"Customweb_OPPCw::The email address is missing.","Het e-mailadres ontbreekt."
"Customweb_OPPCw::The establishment number is invalid.","Het dossiernummer is onjuist."
"Customweb_OPPCw::The establishment number is missing.","Het dossiernummer ontbreekt."
"Customweb_OPPCw::The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off."
"Customweb_OPPCw::The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement."
"Customweb_OPPCw::The gender is required.","The gender is required."
"Customweb_OPPCw::The given BIC is invalid.","The given BIC is invalid."
"Customweb_OPPCw::The given CVC code has the wrong length.","De gegeven CVC-code heeft de verkeerde lengte."
"Customweb_OPPCw::The given IBAN is invalid.","The given IBAN is invalid."
"Customweb_OPPCw::The given address was invalid.","The given address was invalid."
"Customweb_OPPCw::The given card number has an invalid check sum.","Het opgegeven kaartnummer heeft een ongeldige checksum."
"Customweb_OPPCw::The given card number has an invalid length.","Het opgegeven kaartnummer heeft een ongeldige lengte."
"Customweb_OPPCw::The given hmac key is empty.","The given hmac key is empty."
"Customweb_OPPCw::The given identifier is empty.","The given identifier is empty."
"Customweb_OPPCw::The given password is empty.","The given password is empty."
"Customweb_OPPCw::The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"Customweb_OPPCw::The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"Customweb_OPPCw::The given site number is empty.","The given site number is empty."
"Customweb_OPPCw::The given transaction is not of type Customweb_OPPCw_Authorization_Transaction.","The given transaction is not of type Customweb_OPPCw_Authorization_Transaction."
"Customweb_OPPCw::The height of the iframe containing the input field.","The height of the iframe containing the input field."
"Customweb_OPPCw::The house number addition is invalid.","De huisnummertoevoeging is onjuist."
"Customweb_OPPCw::The house number addition is missing.","De huisnummertoevoeging ontbreekt."
"Customweb_OPPCw::The house number is invalid.","Het huisnummer is onjuist."
"Customweb_OPPCw::The house number is missing.","Het huisnummer ontbreekt."
"Customweb_OPPCw::The identifier as defined in the backoffice of Open Payment Platform.","The identifier as defined in the backoffice of Open Payment Platform."
"Customweb_OPPCw::The initials are invalid.","De voorletters zijn onjuist."
"Customweb_OPPCw::The initials are missing.","De voorletters ontbreken."
"Customweb_OPPCw::The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel.","De volledigheid van de response-bericht en de parameter kan worden gewaarborgd door een digitale handtekening (gegenereerd met behulp van SHA-1-algoritme). Dit moet geactiveerd zijn PSP administratie gebied."
"Customweb_OPPCw::The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel. This is only needed by the hidden authorization.","The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel. This is only needed by the hidden authorization."
"Customweb_OPPCw::The invoice could not be captured and processed by","De rekening kon niet worden geboekt en bewerkt van Open Payment Platform."
"Customweb_OPPCw::The invoice could not be captured and processed. Reason:","De factuur kan niet worden vastgelegd en verwerkt. Reden:"
"Customweb_OPPCw::The invoice could not be found.","De factuur kan niet worden gevonden."
"Customweb_OPPCw::The invoice has been changed.","De factuur is gewijzigd."
"Customweb_OPPCw::The invoice no longer exists.","De factuur bestaat niet meer."
"Customweb_OPPCw::The language preference is invalid.","De voorkeurstaal is onjuist."
"Customweb_OPPCw::The language preference is missing.","De voorkeurstaal ontbreekt."
"Customweb_OPPCw::The layout does not contain the tag '!layout_tag'.","De lay-out is niet de tag '!layout_tag' bevatten."
"Customweb_OPPCw::The merchant id provided by Open Payment Platform","The merchant id provided by Open Payment Platform"
"Customweb_OPPCw::The merchant name, displayed to customer on SEPA mandates.","The merchant name, displayed to customer on SEPA mandates."
"Customweb_OPPCw::The minimum age for ordering with Payolution is 18 years.","The minimum age for ordering with Payolution is 18 years."
"Customweb_OPPCw::The name of the city is invalid.","De plaatsnaam is onjuist."
"Customweb_OPPCw::The name of the city is missing.","De plaatsnaam ontbreekt."
"Customweb_OPPCw::The name prefix is invalid.","Het naam tussenvoegsel is onjuist."
"Customweb_OPPCw::The name prefix is missing.","Het naam tussenvoegsel ontbreekt."
"Customweb_OPPCw::The next update execution date indicates when the next cron is run to update the transaction state.","The next update execution date indicates when the next cron is run to update the transaction state."
"Customweb_OPPCw::The order is not fully completed. Please contact the store owner.","The order is not fully completed. Please contact the store owner."
"Customweb_OPPCw::The order number is already excisting.","Het ordernummer bestaat al."
"Customweb_OPPCw::The order number is invalid.","Het ordernummer is onjuist."
"Customweb_OPPCw::The order number is missing.","Het ordernummer ontbreekt."
"Customweb_OPPCw::The orderline is invalid.","De orderregel is onjuist."
"Customweb_OPPCw::The orderline is missing.","De orderregel ontbreekt."
"Customweb_OPPCw::The parameters ""3DSIGNVAL"" was false.","The parameters ""3DSIGNVAL"" was false."
"Customweb_OPPCw::The parent transaction reference already exists.","Het parent transaction reference bestaat al."
"Customweb_OPPCw::The parent transaction reference is invalid.","Het parent transaction reference is onjuist."
"Customweb_OPPCw::The parent transaction reference is missing.","Het parent transaction reference ontbreekt."
"Customweb_OPPCw::The password is provided by Open Payment Platform.","Het wachtwoord wordt verstrekt door Open Payment Platform."
"Customweb_OPPCw::The payment could not be authorized, because it is not certain.","De betaling kan niet worden toegestaan, omdat het niet zeker is."
"Customweb_OPPCw::The payment form will be displayed after submitting the order.","The payment form will be displayed after submitting the order."
"Customweb_OPPCw::The payment has been accepted.","The payment has been accepted."
"Customweb_OPPCw::The payment has been denied.","The payment has been denied."
"Customweb_OPPCw::The payment method !paymentMethod does not support recurring payment.","De betaalmethode !paymentMethod ondersteunt geen terugkerende betalingen."
"Customweb_OPPCw::The payment method !paymentMethodName does not support the currency '!currency'.","De betaalmethode !paymentMethodName ondersteunt niet de munt '!currency'."
"Customweb_OPPCw::The payment method !paymentMethodName is not available in your country ('!country').","De betaalmethode !paymentMethodName is niet beschikbaar in uw land ('!country')."
"Customweb_OPPCw::The payment method '!paymentMethod' cannot be used for Moto payments.","The payment method '!paymentMethod' cannot be used for Moto payments."
"Customweb_OPPCw::The payment update has been made.","The payment update has been made."
"Customweb_OPPCw::The portal id provided by Open Payment Platform","The portal id provided by Open Payment Platform"
"Customweb_OPPCw::The postal code is invalid.","De postcode is onjuist."
"Customweb_OPPCw::The postal code is missing.","De postcode ontbreekt."
"Customweb_OPPCw::The product quantity is invalid.","Het product aantal is onjuist."
"Customweb_OPPCw::The product quantity is missing.","Het product aantal ontbreekt."
"Customweb_OPPCw::The provided signature does not match with the one calculated.","The provided signature does not match with the one calculated."
"Customweb_OPPCw::The rang (PBX_RANG) as defined in the live backoffice of Open Payment Platform. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of Open Payment Platform. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"Customweb_OPPCw::The refund announcement failed.","The refund announcement failed."
"Customweb_OPPCw::The refund failed due to an unkown reason.","The refund failed due to an unkown reason."
"Customweb_OPPCw::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_OPPCw::The refund item with SKU '@sku' is not present in the original order.","The refund item with SKU '@sku' is not present in the original order."
"Customweb_OPPCw::The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"Customweb_OPPCw::The response seems not to be valid.","The response seems not to be valid."
"Customweb_OPPCw::The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off."
"Customweb_OPPCw::The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement."
"Customweb_OPPCw::The secret key set in the Open Payment Platform backend, on .","The secret key set in the Open Payment Platform backend, on ."
"Customweb_OPPCw::The secret key set in the Open Payment Platform backend, on backendUrlLive____.","The secret key set in the Open Payment Platform backend, on backendUrlLive____."
"Customweb_OPPCw::The sender ID is provided by Open Payment Platform.","De Sender ID wordt door Open Payment Platform."
"Customweb_OPPCw::The sender ID is provided by Open Payment Platform. This is only needed by the hidden authorization.","The sender ID is provided by Open Payment Platform. This is only needed by the hidden authorization."
"Customweb_OPPCw::The shopping cart has been altered!","The shopping cart has been altered!"
"Customweb_OPPCw::The signature could not be verified.","The signature could not be verified."
"Customweb_OPPCw::The site id (PBX_RANG) as defined in the backoffice of Open Payment Platform.","The site id (PBX_RANG) as defined in the backoffice of Open Payment Platform."
"Customweb_OPPCw::The style of the input field, using inline CSS. This style will be appkied if 'Use Style' is set to 'Inline Style'.","The style of the input field, using inline CSS. This style will be appkied if 'Use Style' is set to 'Inline Style'."
"Customweb_OPPCw::The sub account id provided by Open Payment Platform","The sub account id provided by Open Payment Platform"
"Customweb_OPPCw::The surname is invalid.","De achternaam is onjuist."
"Customweb_OPPCw::The surname is missing.","De achternaam ontbreekt."
"Customweb_OPPCw::The telephone number is invalid.","Het telefoonnummer is onjuist."
"Customweb_OPPCw::The telephone number is missing.","Het telefoonnummer ontbreekt."
"Customweb_OPPCw::The text which will be displayed on the account- and credit card statements. This will be cut at 27 characters to make a new line. It is not possible to force a new line throught the us of e.g. spaces ("" "").","The text which will be displayed on the account- and credit card statements. This will be cut at 27 characters to make a new line. It is not possible to force a new line throught the us of e.g. spaces ("" "")."
"Customweb_OPPCw::The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off."
"Customweb_OPPCw::The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement."
"Customweb_OPPCw::The total order amount is invalid.","Het totaalbedrag is onjuist."
"Customweb_OPPCw::The total order amount is missing.","Het totaalbedrag ontbreekt."
"Customweb_OPPCw::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Het totaal terug te betalen bedrag kan niet hoger zijn dan de vastgelegde bedrag"
"Customweb_OPPCw::The transaction cannot be cancelled online.","The transaction cannot be cancelled online."
"Customweb_OPPCw::The transaction cannot be captured online.","The transaction cannot be captured online."
"Customweb_OPPCw::The transaction cannot be refunded online.","The transaction cannot be refunded online."
"Customweb_OPPCw::The transaction failed due to an unknown reason.","De transactie  is mislukt met een onbekende fout"
"Customweb_OPPCw::The transaction failed with error code !code.","The transaction failed with error code !code."
"Customweb_OPPCw::The transaction is only executed in the test system. The goods should not be delivered.","The transaction is only executed in the test system. The goods should not be delivered."
"Customweb_OPPCw::The transaction reaches an invalid state, because the response of Open Payment Platform does corresponds to the specification. Most likely your account is misconfigured (e.g. wrong entity ID).","The transaction reaches an invalid state, because the response of Open Payment Platform does corresponds to the specification. Most likely your account is misconfigured (e.g. wrong entity ID)."
"Customweb_OPPCw::The transaction was cancelled by the user.","The transaction was cancelled by the user."
"Customweb_OPPCw::The unit price is invalid.","De artikelprijs is onjuist."
"Customweb_OPPCw::The unit price is missing.","De artikelprijs ontbreekt."
"Customweb_OPPCw::The user ID is provided by Open Payment Platform.","De gebruikers-ID wordt door Open Payment Platform."
"Customweb_OPPCw::The validation at step authorize is not supported for ajax and hidden authorization","The validation at step authorize is not supported for ajax and hidden authorization"
"Customweb_OPPCw::The whole transaction is cancelled.","De gehele transactie is geannuleerd."
"Customweb_OPPCw::The width of the iframe containing the input field.","The width of the iframe containing the input field."
"Customweb_OPPCw::There has been a problem during the processing of your payment.","There has been a problem during the processing of your payment."
"Customweb_OPPCw::There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Er is een probleem bij de verwerking van uw betaling. Neem contact op met de winkel eigenaar om ervoor te zorgen dat uw bestelling is succesvol geplaatst."
"Customweb_OPPCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1"
"Customweb_OPPCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s"
"Customweb_OPPCw::There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"Customweb_OPPCw::There is some information missing.","Er ontbreken gegevens."
"Customweb_OPPCw::There seems to be a problem with the Open Payment Platform module.","Er lijkt een probleem met de Open Payment Platform module zijn."
"Customweb_OPPCw::There was an error validating the login and password.","There was an error validating the login and password."
"Customweb_OPPCw::This URL has to be entered in the backend of Open Payment Platform as TransactionStatus URL.","This URL has to be entered in the backend of Open Payment Platform as TransactionStatus URL."
"Customweb_OPPCw::This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email."
"Customweb_OPPCw::This is a brief installation instruction of the main and most important installation steps. It is important that you strictly follow the check-list. Only by doing so, the secure usage in correspondence with all security regulations can be guaranteed.","This is a brief installation instruction of the main and most important installation steps. It is important that you strictly follow the check-list. Only by doing so, the secure usage in correspondence with all security regulations can be guaranteed."
"Customweb_OPPCw::This is a brief instruction of the main and most important installation steps, which need to be performed when installing the Open Payment Platform module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip.","This is a brief instruction of the main and most important installation steps, which need to be performed when installing the Open Payment Platform module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip."
"Customweb_OPPCw::This message is returned by Open Payment Platform for this transaction.","Dit bericht wordt geretourneerd door Open Payment Platform voor deze transactie."
"Customweb_OPPCw::This message is shown to the customer, when he fails to pass the solvency check.","This message is shown to the customer, when he fails to pass the solvency check."
