"Customweb_OPPCw::* Required Fields","* Champs requis"
"Customweb_OPPCw::Portal ID","Portal ID"
"Customweb_OPPCw::Postal code","Postal code"
"Customweb_OPPCw::Price","Prix"
"Customweb_OPPCw::Process ID","Process ID"
"Customweb_OPPCw::Processor","Processeur"
"Customweb_OPPCw::Product","Produit"
"Customweb_OPPCw::Product Name","Nom du produit"
"Customweb_OPPCw::Proposed address changes","Proposed address changes"
"Customweb_OPPCw::Purchase Point","Lieu d'achat"
"Customweb_OPPCw::Qty","Quantité"
"Customweb_OPPCw::Quantity can not be larger than 999.","Quantity can not be larger than 999."
"Customweb_OPPCw::Received 'paid' action, however amount was incorrect (!actual instead of !expected).","Received 'paid' action, however amount was incorrect (!actual instead of !expected)."
"Customweb_OPPCw::Received message with action @action.","Received message with action @action."
"Customweb_OPPCw::Recurring Payments","Paiements récurrents"
"Customweb_OPPCw::Red","Red"
"Customweb_OPPCw::Redirection was required to url @url.","Redirection was required to url @url."
"Customweb_OPPCw::Reference No.","Reference No."
"Customweb_OPPCw::Refund (announcement) is only available for the full order, not only parts.","Refund (announcement) is only available for the full order, not only parts."
"Customweb_OPPCw::Refund Amount","Montant du remboursement"
"Customweb_OPPCw::Refund ID","ID de remboursement"
"Customweb_OPPCw::Refund amount","Montant du remboursement"
"Customweb_OPPCw::Refund information","Information de remboursement"
"Customweb_OPPCw::Refund status","Statut de remboursement"
"Customweb_OPPCw::Refunded Amount","Montant du remboursement"
"Customweb_OPPCw::Refunds","Remboursements"
"Customweb_OPPCw::Register","Inscrivez-vous"
"Customweb_OPPCw::Register to Create an Account","S'inscrire pour créer un compte"
"Customweb_OPPCw::Register with us for future convenience:","Inscrivez-vous chez nous pour plus de commodité dans l'avenir:"
"Customweb_OPPCw::Release Date","Date de sortie"
"Customweb_OPPCw::Review","Review"
"Customweb_OPPCw::Risk Based Capture","Risk Based Capture"
"Customweb_OPPCw::Rounding Adjustment","Ajustements d'arrondi"
"Customweb_OPPCw::Rounding Fee","Rounding Fee"
"Customweb_OPPCw::Row Total","Total de la ligne"
"Customweb_OPPCw::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_OPPCw::SKU:","SKU:"
"Customweb_OPPCw::Sales","Ventes"
"Customweb_OPPCw::Sales Tax Number","Numéro de taxe de vente"
"Customweb_OPPCw::Save","Sauvegarder"
"Customweb_OPPCw::Saved cards:","Cartes enregistrées:"
"Customweb_OPPCw::Score","Score"
"Customweb_OPPCw::Scoring check executed","Scoring check executed"
"Customweb_OPPCw::Scoring check maximum","Scoring check maximum"
"Customweb_OPPCw::Scoring check minimum","Scoring check minimum"
"Customweb_OPPCw::Secret Key","Secret Key"
"Customweb_OPPCw::Secret for Encryption","Secret for Encryption"
"Customweb_OPPCw::Secret key","Secret key"
"Customweb_OPPCw::Security Hash","Security Hash"
"Customweb_OPPCw::Security Hash Secret","Security Hash"
"Customweb_OPPCw::Security Sender","Security Sender"
"Customweb_OPPCw::See order and shipping status","Voir le statut de la commande et le statut de livraison"
"Customweb_OPPCw::Select 'ALL'","Select 'ALL'"
"Customweb_OPPCw::Select 'PA' and 'DB' for PAYMENTS and 'ALL' for REGISTRATIONS.","Select 'PA' and 'DB' for PAYMENTS and 'ALL' for REGISTRATIONS."
"Customweb_OPPCw::Select Brand","Sélectionnez le type de la carte"
"Customweb_OPPCw::Select Method","Sélectionner la méthode"
"Customweb_OPPCw::Select the authorization method to use for processing this payment method.","Sélectionnez un mode d'autorisation pour le traitement de ce mode de paiement."
"Customweb_OPPCw::Select the date of your birth.","Veuillez sélectionner votre date de naissance."
"Customweb_OPPCw::Select the date on which your card expires.","Séléctionnez la date d'expiration de la carte."
"Customweb_OPPCw::Select the hash calculation method to use. This value must correspond with the selected value in the back-end of Open Payment Platform.","Select the hash calculation method to use. This value must correspond with the selected value in the back-end of Open Payment Platform."
"Customweb_OPPCw::Selected IBAN","Selected IBAN"
"Customweb_OPPCw::Send Basket","Send Basket"
"Customweb_OPPCw::Send Invoice Email","Envoyer un e-mail avec la facture"
"Customweb_OPPCw::Send amounts to Open Payment Platform in base currency.","Envoyer des montants à  Open Payment Platform dans la devise de base."
"Customweb_OPPCw::Send amounts to Open Payment Platform in store's base currency.","Envoyer les montants à Open Payment Platform dans la devise de base de la boutique."
"Customweb_OPPCw::Send basket","Send basket"
"Customweb_OPPCw::Send invoice email","Envoyer la facture"
"Customweb_OPPCw::Send it by e-mail.","Send it by e-mail."
"Customweb_OPPCw::Send it by postal services.","Send it by postal services."
"Customweb_OPPCw::Send the invoice email automatically after invoice creation.","Envoyer l'email de facture automatiquement après la création de la facture."
"Customweb_OPPCw::Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Si vous séléctionnez 'Comptabilisation dirècte' le montant sera tout de suite débité de la carte du client. Si vous séléctionnez 'Comptabilisation retardée' le montant sera débité avec un certain temps défini par vous."
"Customweb_OPPCw::Set the sort order to show the external checkouts.","Définir l'ordre de montrer les checkouts externes."
"Customweb_OPPCw::Set to 'none'.","Set to 'none'."
"Customweb_OPPCw::Settlement after order","Génération après la commande"
"Customweb_OPPCw::Setup","Setup"
"Customweb_OPPCw::Shipping & Handling","Livraison"
"Customweb_OPPCw::Shipping Address","Adresse de livraison"
"Customweb_OPPCw::Shipping Amount","Montant des frais de livraison"
"Customweb_OPPCw::Shipping Information","Informations sur la livraison"
"Customweb_OPPCw::Shipping Method","Mode de livraison"
"Customweb_OPPCw::Shipping Methods","Modes de livraison"
"Customweb_OPPCw::Shipping Refund","Remboursement des frais de livraison"
"Customweb_OPPCw::Shipping provider","Shipping provider"
"Customweb_OPPCw::Shop","Shop"
"Customweb_OPPCw::Short Installation Instructions:","Instructions d'installation:"
"Customweb_OPPCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Est-ce que le montant doit être comptabilisé automatiquement après la commande (direct) ou est-ce que le montant doit seulement être réservé (différé)?"
"Customweb_OPPCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)? If instructed to do so you can also choose the risk based capturing. But please note that this feature can only be used if your account has the option activated. Contact your service provider for more information.","Choisissez si le montant doit être capturé automatiquement après la commande (direct) ou si le montant devrait seulement être réservé (différé). Vous pouvez aussi choisir de capturer à partir des risques. N'oubliez pas que cette fonctionnalité peut seulement être utilisée, que si votre compte a cette option activée. Contactez votre prestataire de services de paiement pour plus d'informations."
"Customweb_OPPCw::Show","Voir"
"Customweb_OPPCw::Show Account Selection","Voir la sélection de compte"
"Customweb_OPPCw::Show Further Settings and Information","Afficher plus de paramètres et d'informations"
"Customweb_OPPCw::Show Image","Afficher Image"
"Customweb_OPPCw::Show Payment Id","Afficher Payment ID"
"Customweb_OPPCw::Show the payment id","Présenter l'ID de paiement"
"Customweb_OPPCw::Show the payment id in the order information","Afficher l'ID de paiement dans le bon de commande"
"Customweb_OPPCw::Show the payment image","Montrer l'image de paiement"
"Customweb_OPPCw::Show the payment image on the checkout page","Montrer l'image de paiement sur la page de paiement"
"Customweb_OPPCw::Sign In","Connexion"
"Customweb_OPPCw::Slovak Republic","Slovak Republic"
"Customweb_OPPCw::Social Security Number","Numéro de sécurité sociale"
"Customweb_OPPCw::Sorry, your payment request has been declined by AfterPay.","Sorry, your payment request has been declined by AfterPay."
"Customweb_OPPCw::Sort Code","Sort Code"
"Customweb_OPPCw::Sort Order","Ordre De Tri"
"Customweb_OPPCw::Spain","Espagne"
"Customweb_OPPCw::State is required for country @country.","State is required for country @country."
"Customweb_OPPCw::Status","Statut"
"Customweb_OPPCw::Status Message","Message du statut"
"Customweb_OPPCw::Store the payment details","Enregistrer les détails de paiement"
"Customweb_OPPCw::Stored payment details","Détails de paiement enregistrées"
"Customweb_OPPCw::Street","Street"
"Customweb_OPPCw::Sub Account ID","Sub Account ID"
"Customweb_OPPCw::Submit","Submit"
"Customweb_OPPCw::Submit Order","Confirmer la commande"
"Customweb_OPPCw::Submitting order information...","Soumission des données de la commande..."
"Customweb_OPPCw::Subtotal","Sous-total"
"Customweb_OPPCw::Success","Succès"
"Customweb_OPPCw::Successful","Succès"
"Customweb_OPPCw::Successful online refund of amount","Remboursement en ligne réussie de montant"
"Customweb_OPPCw::Successful payment authorization.","Paiement autorisé"
"Customweb_OPPCw::Successfull online refund of amount","Remboursement en ligne réussie de montant"
"Customweb_OPPCw::Support","Support"
"Customweb_OPPCw::Switzerland","Suisse (CH)"
"Customweb_OPPCw::Tax Amount","Montant de l'impôt"
"Customweb_OPPCw::Technical Issue Message","Technical Issue Message"
"Customweb_OPPCw::Technical issue: This payment methods is not available at the moment.","Problème technique: Cette méthode de paiement n'est pas disponible en ce moment."
"Customweb_OPPCw::Terms and Conditions","Termes & conditions"
"Customweb_OPPCw::Test Mode","Mode test"
"Customweb_OPPCw::Test Transaction","Transaction de test"
"Customweb_OPPCw::The 'Integrator Test Mode' sends all payments to Open Payment Platform, but no financial institute is contacted. In the 'Connector Test Mode' the transaction is sent to the corresponding financial institute as test transaction. In live mode all transactions are processed.","Le 'Integrator Test Mode' envoie tous les paiements à Open Payment Platform, mais aucune institution financière est contacté. Dans le 'Connector Test Mode' la transaction est envoyée à l'institution financière correspondant comme opération de test. En mode live toutes les transactions sont traitées."
"Customweb_OPPCw::The Entity ID is a unique key for the identification of the unit which sends transactions into the system.","La clé Entity ID est un clé unique pour l'identification de l'unité qui enverra les transactions au système."
"Customweb_OPPCw::The HMAC key as defined in the live backoffice of Open Payment Platform. You may need generate the HMAC key. Please take a look at the manual how to do this.","La clé HMAC tel que défini dans le backoffice de production de Open Payment Platform. Vous devrez peut-être générer la clé HMAC. Veuillez jeter un coup d'oeil sur le manuel pour savoir comment faire cela."
"Customweb_OPPCw::The IBAN is invalid.","The IBAN is invalid."
"Customweb_OPPCw::The IBAN is missing.","The IBAN is missing."
"Customweb_OPPCw::The Klarna payment method cannot be used by companies.","La méthode de paiement Klarna ne peut pas être utilisé par les entreprises."
"Customweb_OPPCw::The Klarna payment method cannot be used in the customer's country.","The Klarna payment method cannot be used in the customer's country."
"Customweb_OPPCw::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Le schéma de mandat SEPA ne contient pas le mot-clé '!tag'. Ce mot-clé est obligatoire."
"Customweb_OPPCw::The SHA signatures do not match.","Les signatures SHA ne correspondent pas."
"Customweb_OPPCw::The VAT category is invalid.","The VAT category is invalid."
"Customweb_OPPCw::The VAT category is missing.","The VAT category is missing."
"Customweb_OPPCw::The VAT number is missing.","The VAT number is missing."
"Customweb_OPPCw::The alias could not be found.","L'alias na pas été trouvé."
"Customweb_OPPCw::The alias has been deleted.","L'alias a été supprimé."
"Customweb_OPPCw::The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by Open Payment Platform.","Le alias manager permet au client de sélectionner à partir d'une carte de crédit précédemment stockée. Les données de carte de crédit sont stockées par Open Payment Platform."
"Customweb_OPPCw::The alias transaction could not be conductet with error code: !code, and reason: !reason:","La transaction alias n'a pas pu être réalisée. Code d'erreur: !code et raison: !reason"
"Customweb_OPPCw::The amount could not be verified.","Le montant n'a pas pu être vérifié."
"Customweb_OPPCw::The amount of !amount is authorized.","Le montant de !amount est autorisé."
"Customweb_OPPCw::The amount of !amount is captured.","Le montant de !amount est capturé."
"Customweb_OPPCw::The authorization is confirmed.","L'autorisation a été approuvé."
"Customweb_OPPCw::The authorization is denied: !errorMessage","L'autorisation est refusée: !errorMessage"
"Customweb_OPPCw::The authorization method '!method' is not supported.","Le mode d'autorisation '!method' n'est pas accepté."
"Customweb_OPPCw::The authorization was denied.","The authorization was denied."
"Customweb_OPPCw::The authorization was not successful","Erreur d'autorisation. Autorisation sans succès."
"Customweb_OPPCw::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","Le type de la carte de crédit est détecté par le numéro de la carte si une autorisation cachée est utilisé. Si la page de paiement est utilisé, l'utilisateur doit sélectionner la marque. Les marques de cartes de crédit autorisés peuvent être limitées par ce paramètre."
"Customweb_OPPCw::The brand with external name '!key' was not present in the map.","La marque avec le nom externe '!key' n'était pas présent dans la carte."
"Customweb_OPPCw::The brand with key '!key' was not found in the card information map.","La marque '!key' n'a pas été trouvée dans les marques disponibles."
"Customweb_OPPCw::The cancellation could not be conducted. Error code: !error.","L'annulation n'a pas pu être réalisée. Code d'erreur: !error."
"Customweb_OPPCw::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","Le montant de comptabilisation (!captureAmount) ne peut pas être supérieur au montant autorisé (!authorizedAmount)."
"Customweb_OPPCw::The capture failed.","The capture failed."
"Customweb_OPPCw::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","L'élément de capture avec SKU '@sku' a un montant plus élevé (@amountItem) comme l'élément d'origine (@amountOriginal)."
"Customweb_OPPCw::The capture item with SKU '@sku' is not present in the original order.","L'élément de capture avec SKU '@sku' n'est pas présent dans la commande original."
"Customweb_OPPCw::The capturing could not be conducted. Error code: !error.","La capture n'a pas pu être réalisée. Code d'erreur: !error."
"Customweb_OPPCw::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","La sélection de la marque de la carte se fait automatiquement à partir du numéro de carte inséré. Si Javascript n'est pas actif dans le navigateur, un menu déroulant apparaît. Si JavaScript est activé, les logos de marques peuvent être affichées. Afficher les logos au lieu du menu déroulant?"
"Customweb_OPPCw::The chamber of commerce number is incorrect.","The chamber of commerce number is incorrect."
"Customweb_OPPCw::The chamber of commerce number is missing.","The chamber of commerce number is missing."
"Customweb_OPPCw::The channel ID is a unique key for the identification of the unit which sends transactions into the system.","Le channel ID est une clé unique pour l'identification du compte qui envoie les transactions dans le système."
"Customweb_OPPCw::The comapny name is incorrect.","The comapny name is incorrect."
"Customweb_OPPCw::The company name is missing.","The company name is missing."
"Customweb_OPPCw::The company vat number number needs to be set.","The company vat number number needs to be set."
"Customweb_OPPCw::The configuration has been saved.","La configuration a été enregistrée."
"Customweb_OPPCw::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","Le contrôleur '@controller' ne fournit pas de méthode avec l'annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' et de données valides."
"Customweb_OPPCw::The country code of the phone number is invalid.","The country code of the phone number is invalid."
"Customweb_OPPCw::The country code of the phone number is missing.","The country code of the phone number is missing."
"Customweb_OPPCw::The currency preference is invalid.","The currency preference is invalid."
"Customweb_OPPCw::The currency preference is missing.","The currency preference is missing."
"Customweb_OPPCw::The customer can decide, how to receive the invoice.","The customer can decide, how to receive the invoice."
"Customweb_OPPCw::The customer does not finish the payment with in the timeout.","Le client n'a pas fini le paiement dans le délai imparti."
"Customweb_OPPCw::The date of birth is invalid.","The date of birth is invalid."
"Customweb_OPPCw::The date of birth is missing.","The date of birth is missing."
"Customweb_OPPCw::The date of birth is required.","La date de naissance doit être indiquée."
"Customweb_OPPCw::The date of birth needs to be set.","The date of birth needs to be set."
"Customweb_OPPCw::The debtor ID for processing SEPA mandates.","The debtor ID for processing SEPA mandates."
"Customweb_OPPCw::The department name is invalid.","The department name is invalid."
"Customweb_OPPCw::The department name is missing.","The department name is missing."
"Customweb_OPPCw::The email address is invalid.","The email address is invalid."
"Customweb_OPPCw::The email address is missing.","The email address is missing."
"Customweb_OPPCw::The establishment number is invalid.","The establishment number is invalid."
"Customweb_OPPCw::The establishment number is missing.","The establishment number is missing."
"Customweb_OPPCw::The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off."
"Customweb_OPPCw::The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement."
"Customweb_OPPCw::The gender is required.","Le sexe doit être spécifié."
"Customweb_OPPCw::The given BIC is invalid.","The given BIC is invalid."
"Customweb_OPPCw::The given CVC code has the wrong length.","Le code CVC inséré a une longeur incorecte."
"Customweb_OPPCw::The given IBAN is invalid.","The given IBAN is invalid."
"Customweb_OPPCw::The given address was invalid.","The given address was invalid."
"Customweb_OPPCw::The given card number has an invalid check sum.","Le numéro de carte donné a une somme de contrôle invalide."
"Customweb_OPPCw::The given card number has an invalid length.","Le numéro de carte inséré a une longueur invalide."
"Customweb_OPPCw::The given hmac key is empty.","La clé HMAC donnée est vide."
"Customweb_OPPCw::The given identifier is empty.","L'identificateur donné est vide."
"Customweb_OPPCw::The given password is empty.","Le mot de passe donné est vide."
"Customweb_OPPCw::The given rang is empty. It must be a nummeric value with length of two.","Le champ 'rang' donné est vide. Il doit être une valeur nummerique avec une longueur de deux."
"Customweb_OPPCw::The given rang is invalid. It must be a nummeric value with length of two.","Le champ 'rang' n'est pas valide. Il doit être une valeur numérique avec une longueur de deux."
"Customweb_OPPCw::The given site number is empty.","Le nombre de site donné est vide."
"Customweb_OPPCw::The given transaction is not of type Customweb_OPPCw_Authorization_Transaction.","The given transaction is not of type Customweb_OPPCw_Authorization_Transaction."
"Customweb_OPPCw::The height of the iframe containing the input field.","The height of the iframe containing the input field."
"Customweb_OPPCw::The house number addition is invalid.","The house number addition is invalid."
"Customweb_OPPCw::The house number addition is missing.","The house number addition is missing."
"Customweb_OPPCw::The house number is invalid.","The house number is invalid."
"Customweb_OPPCw::The house number is missing.","The house number is missing."
"Customweb_OPPCw::The identifier as defined in the backoffice of Open Payment Platform.","L'identifiant tel que défini dans le backoffice de Open Payment Platform."
"Customweb_OPPCw::The initials are invalid.","The initials are invalid."
"Customweb_OPPCw::The initials are missing.","The initials are missing."
"Customweb_OPPCw::The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel.","L'intégrité du message et des paramètres de réponse ne peut pas être garantie par une signature numérique générée avec l'algorithme SHA-1. Ceci doit être activée dans le panneau d'administration du PSP."
"Customweb_OPPCw::The integrity of the response message and parameters can be guaranteed via a digital signature generated with SHA-1 algorithm. This has to be enabled in the PSP administration panel. This is only needed by the hidden authorization.","L'intégrité du message et des paramètres de réponse peuvent être garantis par une signature numérique générée avec l'algorithme SHA-1. Ceci doit être activé dans le panneau d'administration du PSP. Ceci est seulement nécessaire pour le type d'autorisation 'Hidden Authorization'."
"Customweb_OPPCw::The invoice could not be captured and processed by","La facture n'a pas pu être comptabilisée et traitée par Open Payment Platform."
"Customweb_OPPCw::The invoice could not be captured and processed. Reason:","La facture n'a pas pu être capturée et traitée. Raison:"
"Customweb_OPPCw::The invoice could not be found.","La facture n'a pas été trouvée."
"Customweb_OPPCw::The invoice has been changed.","La facture a été changé."
"Customweb_OPPCw::The invoice no longer exists.","La facture n'existe plus."
"Customweb_OPPCw::The language preference is invalid.","The language preference is invalid."
"Customweb_OPPCw::The language preference is missing.","The language preference is missing."
"Customweb_OPPCw::The layout does not contain the tag '!layout_tag'.","Le layout ne contient pas le mot-clé '!layout_tag'."
"Customweb_OPPCw::The merchant id provided by Open Payment Platform","The merchant id provided by Open Payment Platform"
"Customweb_OPPCw::The merchant name, displayed to customer on SEPA mandates.","The merchant name, displayed to customer on SEPA mandates."
"Customweb_OPPCw::The minimum age for ordering with Payolution is 18 years.","The minimum age for ordering with Payolution is 18 years."
"Customweb_OPPCw::The name of the city is invalid.","The name of the city is invalid."
"Customweb_OPPCw::The name of the city is missing.","The name of the city is missing."
"Customweb_OPPCw::The name prefix is invalid.","The name prefix is invalid."
"Customweb_OPPCw::The name prefix is missing.","The name prefix is missing."
"Customweb_OPPCw::The next update execution date indicates when the next cron is run to update the transaction state.","La prochaine date d'exécution de mise à jour indique lorsque le cron suivant sera exécuté pour mettre à jour l'état de la transaction."
"Customweb_OPPCw::The order is not fully completed. Please contact the store owner.","Le paiement ne peut être effectué."
"Customweb_OPPCw::The order number is already excisting.","The order number is already excisting."
"Customweb_OPPCw::The order number is invalid.","The order number is invalid."
"Customweb_OPPCw::The order number is missing.","The order number is missing."
"Customweb_OPPCw::The orderline is invalid.","The orderline is invalid."
"Customweb_OPPCw::The orderline is missing.","The orderline is missing."
"Customweb_OPPCw::The parameters ""3DSIGNVAL"" was false.","Le paramètre ""3DSIGNVAL"" était faux."
"Customweb_OPPCw::The parent transaction reference already exists.","The parent transaction reference already exists."
"Customweb_OPPCw::The parent transaction reference is invalid.","The parent transaction reference is invalid."
"Customweb_OPPCw::The parent transaction reference is missing.","The parent transaction reference is missing."
"Customweb_OPPCw::The password is provided by Open Payment Platform.","Le mot de passe est fourni par Open Payment Platform."
"Customweb_OPPCw::The payment could not be authorized, because it is not certain.","Le paiement n'a pas pu être autorisé, car il n'est pas certain."
"Customweb_OPPCw::The payment form will be displayed after submitting the order.","La forme de paiement sera affichée après avoir confirmé la commande."
"Customweb_OPPCw::The payment has been accepted.","Le paiement a été accepté"
"Customweb_OPPCw::The payment has been denied.","Le paiement a été refusé."
"Customweb_OPPCw::The payment method !paymentMethod does not support recurring payment.","La méthode de paiement ne prend pas en charge le paiement récurrent."
"Customweb_OPPCw::The payment method !paymentMethodName does not support the currency '!currency'.","La méthode de paiement !paymentMethodName ne supporte pas la devise '!currency'."
"Customweb_OPPCw::The payment method !paymentMethodName is not available in your country ('!country').","La méthode de paiement !paymentMethodName n'est pas disponible dans votre pays ('!country')."
"Customweb_OPPCw::The payment method '!paymentMethod' cannot be used for Moto payments.","La méthode de paiement '!paymentMethod' ne peut pas être utilisée pour les paiements Moto."
"Customweb_OPPCw::The payment update has been made.","La mise à jour de paiement a été effectué."
"Customweb_OPPCw::The portal id provided by Open Payment Platform","The portal id provided by Open Payment Platform"
"Customweb_OPPCw::The postal code is invalid.","The postal code is invalid."
"Customweb_OPPCw::The postal code is missing.","The postal code is missing."
"Customweb_OPPCw::The product quantity is invalid.","The product quantity is invalid."
"Customweb_OPPCw::The product quantity is missing.","The product quantity is missing."
"Customweb_OPPCw::The provided signature does not match with the one calculated.","La signature fournie ne correspond pas à celle calculée."
"Customweb_OPPCw::The rang (PBX_RANG) as defined in the live backoffice of Open Payment Platform. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","Le champ 'rang' (PBX_RANG) tel que défini dans le backoffice de production de Open Payment Platform. Il doit être nummeric avec deux caractères de long. Dans le backoffice il peut être affiché comme trois caractères. Vous devez tronquer le premier chiffre."
"Customweb_OPPCw::The refund announcement failed.","The refund announcement failed."
"Customweb_OPPCw::The refund failed due to an unkown reason.","Le remboursement a échoué à cause d'une raison inconnue."
"Customweb_OPPCw::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","L'article de remboursement avec SKU '@sku' a un montant plus élevé (@amountItem) comme l'article d'origine (@amountOriginal)."
"Customweb_OPPCw::The refund item with SKU '@sku' is not present in the original order.","L'article de remboursement avec SKU '@sku' n'est pas présent dans la commande originale."
"Customweb_OPPCw::The refunding could not be conducted. Error code: !error.","Le remboursement n'a pas pu être réalisé. Code d'erreur: !error."
"Customweb_OPPCw::The response seems not to be valid.","La réponse ne semble pas être valide."
"Customweb_OPPCw::The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off."
"Customweb_OPPCw::The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","The second of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement."
"Customweb_OPPCw::The secret key set in the Open Payment Platform backend, on .","The secret key set in the Open Payment Platform backend, on ."
"Customweb_OPPCw::The secret key set in the Open Payment Platform backend, on backendUrlLive____.","The secret key set in the Open Payment Platform backend, on backendUrlLive____."
"Customweb_OPPCw::The sender ID is provided by Open Payment Platform.","L'ID du marchand est fourni par Open Payment Platform."
"Customweb_OPPCw::The sender ID is provided by Open Payment Platform. This is only needed by the hidden authorization.","Le sender ID est fourni par Open Payment Platform. Ceci est seulement nécessaire pour le type d'autorisation 'Hidden Authorization'."
"Customweb_OPPCw::The shopping cart has been altered!","Le panier a été changé!"
"Customweb_OPPCw::The signature could not be verified.","La signature ne peut pas être vérifiée."
"Customweb_OPPCw::The site id (PBX_RANG) as defined in the backoffice of Open Payment Platform.","L'identifiant du site (PBX_RANG) tel que défini dans le backoffice de Open Payment Platform."
"Customweb_OPPCw::The style of the input field, using inline CSS. This style will be appkied if 'Use Style' is set to 'Inline Style'.","The style of the input field, using inline CSS. This style will be appkied if 'Use Style' is set to 'Inline Style'."
"Customweb_OPPCw::The sub account id provided by Open Payment Platform","The sub account id provided by Open Payment Platform"
"Customweb_OPPCw::The surname is invalid.","The surname is invalid."
"Customweb_OPPCw::The surname is missing.","The surname is missing."
"Customweb_OPPCw::The telephone number is invalid.","The telephone number is invalid."
"Customweb_OPPCw::The telephone number is missing.","The telephone number is missing."
"Customweb_OPPCw::The text which will be displayed on the account- and credit card statements. This will be cut at 27 characters to make a new line. It is not possible to force a new line throught the us of e.g. spaces ("" "").","The text which will be displayed on the account- and credit card statements. This will be cut at 27 characters to make a new line. It is not possible to force a new line throught the us of e.g. spaces ("" "")."
"Customweb_OPPCw::The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off."
"Customweb_OPPCw::The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","The third of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement."
"Customweb_OPPCw::The total order amount is invalid.","The total order amount is invalid."
"Customweb_OPPCw::The total order amount is missing.","The total order amount is missing."
"Customweb_OPPCw::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Le montant total du remboursement (!totalRefundedAmount) ne peut pas être supérieur à la quantité capturée (!capturedAmount)."
"Customweb_OPPCw::The transaction cannot be cancelled online.","La transaction ne peut être annulée en ligne."
"Customweb_OPPCw::The transaction cannot be captured online.","La transaction ne peut être capturée en ligne"
"Customweb_OPPCw::The transaction cannot be refunded online.","La transaction ne peut être remboursé en ligne."
"Customweb_OPPCw::The transaction failed due to an unknown reason.","La transaction a échouée avec une erreur inconnue."
"Customweb_OPPCw::The transaction failed with error code !code.","L'opération a échoué avec le code d'erreur: !code."
"Customweb_OPPCw::The transaction is only executed in the test system. The goods should not be delivered.","La transaction a est exécutée uniquement dans le système de test. Les produits ne doivent pas être livrés."
"Customweb_OPPCw::The transaction reaches an invalid state, because the response of Open Payment Platform does corresponds to the specification. Most likely your account is misconfigured (e.g. wrong entity ID).","La transaction a atteint un statut non valide, parce que la réponse de Open Payment Platform ne correspond pas à la spécification. Votre compte doit est mal configuré (p.ex. Entity ID incorrecte)."
"Customweb_OPPCw::The transaction was cancelled by the user.","The transaction was cancelled by the user."
"Customweb_OPPCw::The unit price is invalid.","The unit price is invalid."
"Customweb_OPPCw::The unit price is missing.","The unit price is missing."
"Customweb_OPPCw::The user ID is provided by Open Payment Platform.","L'ID utilisateur est fourni par Open Payment Platform."
"Customweb_OPPCw::The validation at step authorize is not supported for ajax and hidden authorization","The validation at step authorize is not supported for ajax and hidden authorization"
"Customweb_OPPCw::The whole transaction is cancelled.","Toute la transaction a été annulée."
